cell_id,Hylophilus flavipes,Hylophilus flavipes viridiflavus/xuthus,Hylophilus flavipes [flavipes Group],Hylophilus flavipes insularis
8366e0fffffffff,1273.0,0.0,11.0,0.0
8366e1fffffffff,255.0,0.0,0.0,0.0
8366e2fffffffff,340.0,0.0,0.0,0.0
8366e3fffffffff,36.0,0.0,0.0,0.0
8366e4fffffffff,1028.0,0.0,12.0,0.0
8366e5fffffffff,1148.0,0.0,14.0,0.0
8366e6fffffffff,2091.0,0.0,23.0,0.0
8366ecfffffffff,45.0,0.0,0.0,0.0
8366eefffffffff,55.0,0.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0,0.0
8366f5fffffffff,4.0,0.0,0.0,0.0
836740fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,244.0,0.0,12.0,0.0
836742fffffffff,183.0,0.0,1.0,0.0
836743fffffffff,355.0,0.0,26.0,0.0
836748fffffffff,5.0,0.0,0.0,0.0
83674afffffffff,19.0,0.0,3.0,0.0
83674cfffffffff,684.0,0.0,39.0,0.0
83674dfffffffff,17.0,0.0,0.0,0.0
83674efffffffff,193.0,0.0,11.0,0.0
836751fffffffff,115.0,0.0,0.0,0.0
836752fffffffff,3.0,0.0,0.0,0.0
836753fffffffff,167.0,0.0,0.0,0.0
836755fffffffff,31.0,0.0,0.0,0.0
836756fffffffff,37.0,0.0,0.0,0.0
836758fffffffff,5.0,0.0,0.0,0.0
836759fffffffff,7.0,0.0,0.0,0.0
83675afffffffff,25.0,0.0,0.0,0.0
83675bfffffffff,2.0,0.0,0.0,0.0
83675cfffffffff,286.0,0.0,0.0,0.0
83675dfffffffff,13.0,0.0,0.0,0.0
83675efffffffff,26.0,0.0,0.0,0.0
836769fffffffff,6.0,0.0,0.0,0.0
83676bfffffffff,3.0,0.0,0.0,0.0
83678bfffffffff,7.0,0.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0,0.0
836d69fffffffff,381.0,0.0,0.0,0.0
