cell_id,Hylophilus flavipes,Hylophilus flavipes viridiflavus/xuthus,Hylophilus flavipes [flavipes Group],Hylophilus flavipes insularis
8466087ffffffff,27.0,0.0,0.0,0.0
8466089ffffffff,234.0,0.0,0.0,0.0
846608dffffffff,639.0,0.0,6.0,0.0
8466091ffffffff,1.0,0.0,0.0,0.0
8466093ffffffff,2.0,0.0,0.0,0.0
8466097ffffffff,17.0,0.0,0.0,0.0
84660a1ffffffff,4.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0
84660a5ffffffff,56.0,0.0,0.0,0.0
84660a7ffffffff,32.0,0.0,4.0,0.0
84660abffffffff,2.0,0.0,0.0,0.0
84660adffffffff,4.0,0.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0,0.0
84660c7ffffffff,55.0,0.0,0.0,0.0
84660cbffffffff,53.0,0.0,2.0,0.0
84660cdffffffff,4.0,0.0,0.0,0.0
84660d1ffffffff,39.0,0.0,0.0,0.0
84660d3ffffffff,5.0,0.0,0.0,0.0
84660d9ffffffff,1.0,0.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0,0.0
84660e1ffffffff,17.0,0.0,0.0,0.0
84660e3ffffffff,32.0,0.0,0.0,0.0
84660e9ffffffff,11.0,0.0,0.0,0.0
84660ebffffffff,29.0,0.0,0.0,0.0
8466107ffffffff,2.0,0.0,0.0,0.0
8466113ffffffff,2.0,0.0,0.0,0.0
8466119ffffffff,21.0,0.0,0.0,0.0
8466129ffffffff,3.0,0.0,0.0,0.0
8466139ffffffff,2.0,0.0,0.0,0.0
8466153ffffffff,1.0,0.0,0.0,0.0
846615bffffffff,8.0,0.0,0.0,0.0
8466163ffffffff,138.0,0.0,0.0,0.0
8466165ffffffff,3.0,0.0,0.0,0.0
8466167ffffffff,137.0,0.0,0.0,0.0
8466183ffffffff,18.0,0.0,0.0,0.0
8466191ffffffff,114.0,0.0,0.0,0.0
8466193ffffffff,460.0,0.0,0.0,0.0
8466197ffffffff,67.0,0.0,0.0,0.0
8466199ffffffff,36.0,0.0,0.0,0.0
846619bffffffff,173.0,0.0,0.0,0.0
846619dffffffff,3.0,0.0,0.0,0.0
84661c3ffffffff,1.0,0.0,0.0,0.0
84661c9ffffffff,2.0,0.0,0.0,0.0
84661cbffffffff,26.0,0.0,0.0,0.0
84661cdffffffff,2.0,0.0,0.0,0.0
84661d1ffffffff,24.0,0.0,0.0,0.0
84661d3ffffffff,10.0,0.0,0.0,0.0
84661d5ffffffff,3.0,0.0,0.0,0.0
84661d7ffffffff,18.0,0.0,0.0,0.0
84661d9ffffffff,1.0,0.0,0.0,0.0
8466201ffffffff,44.0,0.0,0.0,0.0
8466203ffffffff,66.0,0.0,0.0,0.0
8466205ffffffff,74.0,0.0,3.0,0.0
8466207ffffffff,9.0,0.0,2.0,0.0
846620bffffffff,903.0,0.0,46.0,0.0
8466211ffffffff,10.0,0.0,0.0,0.0
8466213ffffffff,4.0,0.0,0.0,0.0
8466217ffffffff,58.0,0.0,0.0,0.0
8466219ffffffff,58.0,0.0,6.0,0.0
846621bffffffff,4.0,0.0,0.0,0.0
8466221ffffffff,35.0,0.0,2.0,0.0
8466225ffffffff,180.0,0.0,0.0,0.0
8466227ffffffff,60.0,0.0,0.0,0.0
846622bffffffff,253.0,0.0,6.0,0.0
8466231ffffffff,2.0,0.0,0.0,0.0
846623bffffffff,53.0,0.0,6.0,0.0
8466251ffffffff,2.0,0.0,0.0,0.0
8466257ffffffff,6.0,0.0,0.0,0.0
8466283ffffffff,2.0,0.0,0.0,0.0
8466285ffffffff,2.0,0.0,0.0,0.0
8466297ffffffff,2.0,0.0,0.0,0.0
846629dffffffff,15.0,0.0,0.0,0.0
84662b5ffffffff,10.0,0.0,0.0,0.0
84662b7ffffffff,21.0,0.0,0.0,0.0
84662c9ffffffff,18.0,0.0,0.0,0.0
84662cdffffffff,2.0,0.0,0.0,0.0
84662d3ffffffff,4.0,0.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0,0.0
84662d9ffffffff,1.0,0.0,0.0,0.0
84662e1ffffffff,9.0,0.0,0.0,0.0
84662e5ffffffff,10.0,0.0,0.0,0.0
84662e9ffffffff,7.0,0.0,0.0,0.0
8466311ffffffff,42.0,0.0,0.0,0.0
8466313ffffffff,166.0,0.0,0.0,0.0
8466317ffffffff,2.0,0.0,0.0,0.0
846631bffffffff,37.0,0.0,0.0,0.0
846640dffffffff,3.0,0.0,0.0,0.0
8466505ffffffff,5.0,0.0,0.0,0.0
8466509ffffffff,12.0,0.0,0.0,0.0
8466525ffffffff,1.0,0.0,0.0,0.0
8466529ffffffff,126.0,0.0,0.0,0.0
846652bffffffff,6.0,0.0,0.0,0.0
846652dffffffff,134.0,0.0,0.0,0.0
8466541ffffffff,1.0,0.0,0.0,0.0
8466545ffffffff,53.0,0.0,0.0,0.0
8466549ffffffff,3.0,0.0,0.0,0.0
846654bffffffff,15.0,0.0,0.0,0.0
8466563ffffffff,5.0,0.0,0.0,0.0
8466565ffffffff,32.0,0.0,0.0,0.0
8466567ffffffff,3.0,0.0,0.0,0.0
846656bffffffff,6.0,0.0,0.0,0.0
846656dffffffff,69.0,0.0,0.0,0.0
8466603ffffffff,11.0,0.0,0.0,0.0
846660bffffffff,1.0,0.0,0.0,0.0
8466637ffffffff,4.0,0.0,0.0,0.0
8466639ffffffff,20.0,0.0,0.0,0.0
846663dffffffff,4.0,0.0,0.0,0.0
8466641ffffffff,2.0,0.0,0.0,0.0
8466645ffffffff,2.0,0.0,0.0,0.0
8466647ffffffff,10.0,0.0,0.0,0.0
846664dffffffff,2.0,0.0,0.0,0.0
846670dffffffff,9.0,0.0,0.0,0.0
8466723ffffffff,2.0,0.0,0.0,0.0
8466725ffffffff,2.0,0.0,0.0,0.0
8466727ffffffff,15.0,0.0,0.0,0.0
8466733ffffffff,4.0,0.0,0.0,0.0
8466735ffffffff,4.0,0.0,0.0,0.0
8466737ffffffff,16.0,0.0,0.0,0.0
846674bffffffff,4.0,0.0,0.0,0.0
846675dffffffff,20.0,0.0,0.0,0.0
846676dffffffff,1.0,0.0,0.0,0.0
8466849ffffffff,76.0,0.0,0.0,0.0
8466a03ffffffff,39.0,0.0,0.0,0.0
8466a0bffffffff,185.0,0.0,0.0,0.0
8466a15ffffffff,99.0,0.0,0.0,0.0
8466a17ffffffff,13.0,0.0,0.0,0.0
8466a1dffffffff,463.0,0.0,0.0,0.0
8466a21ffffffff,15.0,0.0,0.0,0.0
8466a23ffffffff,4.0,0.0,0.0,0.0
8466a25ffffffff,15.0,0.0,0.0,0.0
8466a27ffffffff,1.0,0.0,0.0,0.0
8466a2bffffffff,1.0,0.0,0.0,0.0
8466a2dffffffff,1.0,0.0,0.0,0.0
8466a31ffffffff,5.0,0.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0,0.0
8466a35ffffffff,1.0,0.0,0.0,0.0
8466a39ffffffff,32.0,0.0,0.0,0.0
8466a3dffffffff,2.0,0.0,0.0,0.0
8466a51ffffffff,1975.0,0.0,0.0,0.0
8466a53ffffffff,11.0,0.0,0.0,0.0
8466a55ffffffff,28.0,0.0,0.0,0.0
8466a57ffffffff,168.0,0.0,0.0,0.0
8466a59ffffffff,83.0,0.0,0.0,0.0
8466a5bffffffff,179.0,0.0,0.0,0.0
8466a5dffffffff,77.0,0.0,0.0,0.0
8466a65ffffffff,2.0,0.0,0.0,0.0
8466aedffffffff,5.0,0.0,0.0,0.0
8466b01ffffffff,3.0,0.0,0.0,0.0
8466b09ffffffff,64.0,0.0,0.0,0.0
8466b0bffffffff,164.0,0.0,0.0,0.0
8466b19ffffffff,64.0,0.0,0.0,0.0
8466b1dffffffff,9.0,0.0,0.0,0.0
8466b41ffffffff,58.0,0.0,0.0,0.0
8466b43ffffffff,56.0,0.0,0.0,0.0
8466b45ffffffff,76.0,0.0,0.0,0.0
8466b47ffffffff,54.0,0.0,0.0,0.0
8466b51ffffffff,5.0,0.0,0.0,0.0
8466b53ffffffff,411.0,0.0,0.0,0.0
8466b55ffffffff,223.0,0.0,0.0,0.0
8466b57ffffffff,559.0,0.0,0.0,0.0
8466b59ffffffff,1.0,0.0,0.0,0.0
8466b5bffffffff,9.0,0.0,0.0,0.0
8466b5dffffffff,1.0,0.0,0.0,0.0
8466b69ffffffff,12.0,0.0,0.0,0.0
8466c41ffffffff,59.0,0.0,0.0,0.0
8466c45ffffffff,8.0,0.0,0.0,0.0
8466c47ffffffff,78.0,0.0,0.0,0.0
8466c49ffffffff,192.0,0.0,0.0,0.0
8466c4dffffffff,22.0,0.0,0.0,0.0
8466c63ffffffff,54.0,0.0,0.0,0.0
8466c6bffffffff,11.0,0.0,0.0,0.0
8466e01ffffffff,11.0,0.0,0.0,0.0
8466e03ffffffff,51.0,0.0,0.0,0.0
8466e05ffffffff,42.0,0.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0,0.0
8466e09ffffffff,3.0,0.0,0.0,0.0
8466e0bffffffff,277.0,0.0,0.0,0.0
8466e0dffffffff,633.0,0.0,7.0,0.0
8466e11ffffffff,34.0,0.0,0.0,0.0
8466e13ffffffff,2.0,0.0,0.0,0.0
8466e15ffffffff,176.0,0.0,0.0,0.0
8466e19ffffffff,2.0,0.0,0.0,0.0
8466e1dffffffff,45.0,0.0,0.0,0.0
8466e21ffffffff,11.0,0.0,0.0,0.0
8466e23ffffffff,106.0,0.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0,0.0
8466e27ffffffff,68.0,0.0,0.0,0.0
8466e29ffffffff,41.0,0.0,0.0,0.0
8466e2bffffffff,135.0,0.0,0.0,0.0
8466e2dffffffff,15.0,0.0,0.0,0.0
8466e35ffffffff,3.0,0.0,0.0,0.0
8466e39ffffffff,23.0,0.0,0.0,0.0
8466e3bffffffff,8.0,0.0,0.0,0.0
8466e3dffffffff,5.0,0.0,0.0,0.0
8466e41ffffffff,323.0,0.0,10.0,0.0
8466e43ffffffff,4.0,0.0,0.0,0.0
8466e45ffffffff,362.0,0.0,2.0,0.0
8466e47ffffffff,386.0,0.0,4.0,0.0
8466e49ffffffff,39.0,0.0,0.0,0.0
8466e4dffffffff,16.0,0.0,0.0,0.0
8466e51ffffffff,19.0,0.0,0.0,0.0
8466e53ffffffff,28.0,0.0,0.0,0.0
8466e55ffffffff,6.0,0.0,0.0,0.0
8466e57ffffffff,814.0,0.0,5.0,0.0
8466e59ffffffff,254.0,0.0,8.0,0.0
8466e5dffffffff,10.0,0.0,1.0,0.0
8466e61ffffffff,11.0,0.0,0.0,0.0
8466e63ffffffff,1135.0,0.0,11.0,0.0
8466e67ffffffff,372.0,0.0,0.0,0.0
8466e69ffffffff,552.0,0.0,8.0,0.0
8466e6bffffffff,184.0,0.0,4.0,0.0
8466e6dffffffff,3.0,0.0,0.0,0.0
8466ec1ffffffff,1.0,0.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0,0.0
8466ec9ffffffff,23.0,0.0,0.0,0.0
8466ecbffffffff,19.0,0.0,0.0,0.0
8466ee5ffffffff,53.0,0.0,0.0,0.0
8466eedffffffff,2.0,0.0,0.0,0.0
8466f19ffffffff,3.0,0.0,0.0,0.0
8466f57ffffffff,4.0,0.0,0.0,0.0
8467413ffffffff,327.0,0.0,17.0,0.0
8467417ffffffff,4.0,0.0,0.0,0.0
8467421ffffffff,8.0,0.0,0.0,0.0
8467423ffffffff,2.0,0.0,0.0,0.0
8467425ffffffff,146.0,0.0,0.0,0.0
8467427ffffffff,12.0,0.0,0.0,0.0
8467429ffffffff,10.0,0.0,0.0,0.0
846742bffffffff,6.0,0.0,0.0,0.0
846742dffffffff,17.0,0.0,1.0,0.0
8467431ffffffff,12.0,0.0,0.0,0.0
8467433ffffffff,124.0,0.0,0.0,0.0
8467435ffffffff,7.0,0.0,0.0,0.0
8467437ffffffff,26.0,0.0,4.0,0.0
846743bffffffff,62.0,0.0,0.0,0.0
846743dffffffff,113.0,0.0,22.0,0.0
846748dffffffff,5.0,0.0,0.0,0.0
84674a5ffffffff,2.0,0.0,0.0,0.0
84674a7ffffffff,15.0,0.0,1.0,0.0
84674c1ffffffff,4.0,0.0,0.0,0.0
84674c5ffffffff,448.0,0.0,26.0,0.0
84674c7ffffffff,2.0,0.0,2.0,0.0
84674c9ffffffff,21.0,0.0,0.0,0.0
84674cbffffffff,8.0,0.0,0.0,0.0
84674cdffffffff,114.0,0.0,6.0,0.0
84674d9ffffffff,20.0,0.0,0.0,0.0
84674e1ffffffff,64.0,0.0,0.0,0.0
84674e5ffffffff,6.0,0.0,0.0,0.0
84674e7ffffffff,2.0,0.0,2.0,0.0
84674e9ffffffff,35.0,0.0,0.0,0.0
84674ebffffffff,7.0,0.0,0.0,0.0
84674edffffffff,92.0,0.0,11.0,0.0
8467519ffffffff,90.0,0.0,0.0,0.0
8467523ffffffff,6.0,0.0,0.0,0.0
8467531ffffffff,10.0,0.0,0.0,0.0
8467535ffffffff,80.0,0.0,0.0,0.0
8467537ffffffff,55.0,0.0,0.0,0.0
8467539ffffffff,19.0,0.0,0.0,0.0
8467553ffffffff,40.0,0.0,0.0,0.0
846756bffffffff,37.0,0.0,0.0,0.0
8467585ffffffff,3.0,0.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0,0.0
8467599ffffffff,7.0,0.0,0.0,0.0
84675a9ffffffff,24.0,0.0,0.0,0.0
84675abffffffff,9.0,0.0,0.0,0.0
84675b3ffffffff,2.0,0.0,0.0,0.0
84675c1ffffffff,22.0,0.0,0.0,0.0
84675c5ffffffff,84.0,0.0,0.0,0.0
84675c7ffffffff,39.0,0.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0,0.0
84675cbffffffff,135.0,0.0,0.0,0.0
84675cdffffffff,5.0,0.0,0.0,0.0
84675d9ffffffff,2.0,0.0,0.0,0.0
84675ddffffffff,11.0,0.0,0.0,0.0
84675e1ffffffff,4.0,0.0,0.0,0.0
84675e3ffffffff,9.0,0.0,0.0,0.0
84675ebffffffff,5.0,0.0,0.0,0.0
8467693ffffffff,5.0,0.0,0.0,0.0
846769bffffffff,1.0,0.0,0.0,0.0
84679b3ffffffff,1.0,0.0,0.0,0.0
846d697ffffffff,387.0,0.0,0.0,0.0
