cell_id,Cyanistes cyanus,Cyanistes cyanus [cyanus Group],Cyanistes cyanus [flavipectus Group]
8420a85ffffffff,1.0,0.0,1.0
8420a9bffffffff,8.0,2.0,6.0
8420a9dffffffff,1.0,0.0,1.0
8420ac5ffffffff,2.0,0.0,2.0
8420ad1ffffffff,11.0,0.0,7.0
8420ad7ffffffff,10.0,2.0,8.0
8420ad9ffffffff,3.0,0.0,3.0
8420adbffffffff,1.0,0.0,0.0
8420b1bffffffff,2.0,0.0,2.0
8420c1bffffffff,2.0,0.0,0.0
8420c8dffffffff,4.0,0.0,0.0
8420c91ffffffff,1.0,0.0,0.0
8420e05ffffffff,2.0,0.0,0.0
8420e07ffffffff,7.0,3.0,0.0
8420e21ffffffff,4.0,1.0,0.0
8420e23ffffffff,4.0,0.0,0.0
8420e27ffffffff,2.0,2.0,0.0
8420e2bffffffff,9.0,3.0,0.0
8420e2dffffffff,2.0,0.0,0.0
8420e39ffffffff,28.0,7.0,0.0
8420e3dffffffff,2.0,2.0,0.0
8420e5dffffffff,1.0,0.0,0.0
8420e61ffffffff,8.0,0.0,1.0
8420e65ffffffff,37.0,21.0,0.0
8420e67ffffffff,3.0,3.0,0.0
8420e69ffffffff,24.0,11.0,1.0
8420e6bffffffff,2.0,0.0,0.0
8420e9bffffffff,10.0,0.0,0.0
8420ee9ffffffff,4.0,0.0,0.0
8420f45ffffffff,1.0,0.0,1.0
8420f51ffffffff,1.0,0.0,0.0
8420f53ffffffff,11.0,0.0,0.0
8420f5bffffffff,2.0,0.0,0.0
8421295ffffffff,1.0,0.0,0.0
8421487ffffffff,1.0,0.0,0.0
84214abffffffff,1.0,0.0,0.0
8421539ffffffff,7.0,0.0,0.0
8424299ffffffff,3.0,0.0,0.0
84242e1ffffffff,1.0,0.0,0.0
8424609ffffffff,6.0,0.0,0.0
8424615ffffffff,1.0,0.0,0.0
8424641ffffffff,1.0,0.0,0.0
84246ddffffffff,2.0,0.0,0.0
8425067ffffffff,1.0,0.0,0.0
842510dffffffff,1.0,0.0,0.0
8425123ffffffff,2.0,0.0,0.0
842512bffffffff,32.0,0.0,0.0
8425169ffffffff,3.0,0.0,0.0
84251bdffffffff,1.0,0.0,0.0
8425409ffffffff,36.0,0.0,0.0
8425415ffffffff,10.0,0.0,0.0
842541dffffffff,2.0,0.0,0.0
8425539ffffffff,2.0,0.0,0.0
84255a3ffffffff,102.0,0.0,0.0
84255a7ffffffff,160.0,0.0,0.0
84255abffffffff,7.0,0.0,0.0
84255b1ffffffff,1.0,0.0,0.0
84255b5ffffffff,3.0,0.0,0.0
8425a15ffffffff,2.0,0.0,0.0
8425a37ffffffff,2.0,0.0,0.0
8425a49ffffffff,19.0,0.0,0.0
8425a4dffffffff,6.0,0.0,0.0
8425ac9ffffffff,37.0,0.0,0.0
8425acbffffffff,7.0,0.0,0.0
8425ae9ffffffff,6.0,0.0,0.0
8425b03ffffffff,13.0,2.0,0.0
8425b07ffffffff,26.0,0.0,0.0
8425b39ffffffff,1.0,0.0,0.0
8425b41ffffffff,3.0,0.0,0.0
8425b47ffffffff,36.0,1.0,0.0
8425b4bffffffff,2.0,0.0,0.0
8425b69ffffffff,2.0,0.0,0.0
8425b6bffffffff,2.0,0.0,0.0
842ec91ffffffff,6.0,0.0,0.0
842ec95ffffffff,3.0,0.0,0.0
842ecb9ffffffff,18.0,0.0,0.0
8431265ffffffff,1.0,0.0,0.0
8431267ffffffff,5.0,0.0,0.0
843d219ffffffff,1.0,0.0,0.0
