cell_id,Driophlox fuscicauda,Driophlox fuscicauda [salvini Group],Driophlox fuscicauda [fuscicauda Group]
8445257ffffffff,95.0,0.0,0.0
8445263ffffffff,716.0,0.0,0.0
8445267ffffffff,3.0,0.0,0.0
8445269ffffffff,9.0,0.0,0.0
844526bffffffff,81.0,0.0,0.0
8445281ffffffff,48.0,0.0,0.0
8445283ffffffff,22.0,2.0,0.0
8445285ffffffff,70.0,6.0,0.0
8445287ffffffff,201.0,33.0,0.0
8445289ffffffff,762.0,6.0,0.0
844528dffffffff,206.0,2.0,0.0
8445291ffffffff,20.0,6.0,0.0
8445295ffffffff,2.0,0.0,0.0
8445297ffffffff,14.0,2.0,0.0
844529bffffffff,3.0,0.0,0.0
84452a1ffffffff,74.0,9.0,0.0
84452a3ffffffff,21.0,0.0,0.0
84452a5ffffffff,353.0,0.0,0.0
84452a7ffffffff,37.0,2.0,0.0
84452a9ffffffff,493.0,16.0,0.0
84452abffffffff,51.0,2.0,0.0
84452adffffffff,866.0,51.0,0.0
84452b1ffffffff,1.0,1.0,0.0
84452b3ffffffff,1.0,0.0,0.0
84452b5ffffffff,44.0,0.0,0.0
84452b9ffffffff,183.0,21.0,0.0
84452bdffffffff,289.0,26.0,0.0
84452c1ffffffff,46.0,0.0,0.0
84452c3ffffffff,552.0,82.0,0.0
84452c5ffffffff,100.0,18.0,0.0
84452c7ffffffff,517.0,23.0,0.0
84452c9ffffffff,37.0,15.0,0.0
84452cbffffffff,3.0,0.0,0.0
84452cdffffffff,9.0,0.0,0.0
84452d5ffffffff,18.0,0.0,0.0
84452d7ffffffff,2.0,0.0,0.0
84452d9ffffffff,181.0,32.0,0.0
84452dbffffffff,44.0,0.0,0.0
84452ddffffffff,2.0,0.0,0.0
84452e1ffffffff,6393.0,199.0,0.0
84452e3ffffffff,459.0,11.0,0.0
84452e5ffffffff,2076.0,78.0,0.0
84452e7ffffffff,168.0,3.0,0.0
84452e9ffffffff,272.0,14.0,0.0
84452ebffffffff,1375.0,157.0,0.0
84452edffffffff,215.0,0.0,0.0
8445301ffffffff,1.0,0.0,0.0
8445305ffffffff,26.0,0.0,0.0
8445309ffffffff,13.0,0.0,0.0
844530dffffffff,6.0,0.0,0.0
8445319ffffffff,59.0,0.0,0.0
8445321ffffffff,10.0,0.0,0.0
844532bffffffff,59.0,0.0,0.0
844532dffffffff,3.0,0.0,0.0
8445343ffffffff,82.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
844534dffffffff,18.0,0.0,0.0
8445351ffffffff,22.0,0.0,0.0
8445353ffffffff,16.0,0.0,0.0
8445355ffffffff,2.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0
8445363ffffffff,27.0,0.0,0.0
8445365ffffffff,47.0,0.0,0.0
8445367ffffffff,13.0,0.0,0.0
8445649ffffffff,51.0,5.0,0.0
8445721ffffffff,2.0,0.0,0.0
8445761ffffffff,2.0,0.0,0.0
8445765ffffffff,2.0,0.0,0.0
8445767ffffffff,17.0,0.0,0.0
8449903ffffffff,1.0,0.0,0.0
8449907ffffffff,1.0,0.0,0.0
8449913ffffffff,8.0,0.0,0.0
844991dffffffff,8.0,0.0,0.0
844992bffffffff,1.0,1.0,0.0
8449961ffffffff,207.0,44.0,0.0
8449963ffffffff,361.0,257.0,0.0
8449967ffffffff,1.0,0.0,0.0
8449969ffffffff,177.0,16.0,0.0
844996bffffffff,6.0,0.0,0.0
844996dffffffff,21.0,0.0,0.0
8449981ffffffff,7.0,0.0,0.0
8449987ffffffff,83.0,0.0,0.0
84499bdffffffff,2.0,0.0,0.0
84499c5ffffffff,43.0,0.0,0.0
84499e3ffffffff,11.0,0.0,0.0
84499e9ffffffff,2.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0
846606bffffffff,2.0,0.0,0.0
8466105ffffffff,3.0,0.0,0.0
8466107ffffffff,11.0,0.0,0.0
8466129ffffffff,3.0,0.0,0.0
8466131ffffffff,1.0,0.0,0.0
8466139ffffffff,4.0,0.0,0.0
8466163ffffffff,8.0,0.0,5.0
8466165ffffffff,39.0,0.0,1.0
8466203ffffffff,2.0,0.0,0.0
8466205ffffffff,3.0,0.0,0.0
8466313ffffffff,161.0,0.0,0.0
8466a01ffffffff,32.0,0.0,0.0
8466a03ffffffff,2.0,0.0,0.0
8466a05ffffffff,51.0,0.0,0.0
8466a07ffffffff,2.0,0.0,0.0
8466a0bffffffff,269.0,0.0,14.0
8466a2bffffffff,2.0,0.0,0.0
8466a2dffffffff,4.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0
8466a3dffffffff,3.0,0.0,0.0
8466a51ffffffff,4742.0,0.0,798.0
8466a55ffffffff,82.0,0.0,9.0
8466a57ffffffff,185.0,0.0,5.0
8466a59ffffffff,69.0,0.0,1.0
8466a5bffffffff,198.0,0.0,23.0
8466a5dffffffff,95.0,0.0,8.0
8466a65ffffffff,501.0,0.0,27.0
8466a67ffffffff,2.0,0.0,0.0
8466b49ffffffff,2541.0,0.0,0.0
8466b4bffffffff,81.0,0.0,0.0
8466b4dffffffff,436.0,0.0,0.0
8466b53ffffffff,5.0,0.0,0.0
8466b59ffffffff,99.0,0.0,0.0
8466b5bffffffff,54.0,0.0,1.0
8467903ffffffff,4.0,0.0,0.0
846790bffffffff,7.0,0.0,0.0
8467921ffffffff,3.0,0.0,0.0
8467925ffffffff,2.0,0.0,0.0
846792dffffffff,15.0,0.0,0.0
8467931ffffffff,8.0,0.0,0.0
8467933ffffffff,3.0,0.0,0.0
8467937ffffffff,4.0,0.0,0.0
8467945ffffffff,12.0,0.0,0.0
8467949ffffffff,5.0,0.0,0.0
846794bffffffff,2.0,0.0,0.0
846794dffffffff,5.0,0.0,0.0
8467961ffffffff,154.0,0.0,0.0
8467963ffffffff,74.0,0.0,0.0
8467969ffffffff,19.0,0.0,0.0
846796bffffffff,12.0,0.0,0.0
84679a1ffffffff,12.0,0.0,0.0
84679a3ffffffff,15.0,0.0,0.0
84679a5ffffffff,3661.0,0.0,0.0
84679a7ffffffff,661.0,0.0,0.0
84679adffffffff,6.0,0.0,0.0
84679b3ffffffff,163.0,0.0,13.0
84679b5ffffffff,135.0,0.0,0.0
84679b7ffffffff,570.0,0.0,0.0
8467b27ffffffff,6.0,0.0,0.0
846d04bffffffff,13.0,4.0,0.0
846d059ffffffff,13.0,0.0,0.0
846d05bffffffff,115.0,50.0,0.0
846d201ffffffff,11.0,0.0,0.0
846d203ffffffff,58.0,0.0,0.0
846d207ffffffff,5.0,0.0,0.0
846d20bffffffff,9.0,0.0,0.0
846d219ffffffff,6.0,0.0,0.0
846d21bffffffff,139.0,55.0,0.0
846d21dffffffff,249.0,32.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,54.0,2.0,0.0
846d225ffffffff,1.0,0.0,0.0
846d22bffffffff,17.0,0.0,0.0
846d22dffffffff,2.0,2.0,0.0
846d231ffffffff,26.0,7.0,0.0
846d235ffffffff,6.0,0.0,0.0
846d239ffffffff,81.0,20.0,0.0
846d23dffffffff,443.0,90.0,0.0
846d24bffffffff,2.0,0.0,0.0
846d253ffffffff,4.0,0.0,0.0
846d255ffffffff,8.0,0.0,0.0
846d257ffffffff,10.0,1.0,0.0
846d267ffffffff,2.0,0.0,0.0
846d26bffffffff,2.0,0.0,0.0
846d287ffffffff,2.0,0.0,0.0
846d295ffffffff,163.0,0.0,0.0
846d297ffffffff,5.0,0.0,0.0
846d2a9ffffffff,3.0,0.0,0.0
846d2abffffffff,1.0,0.0,0.0
846d2b9ffffffff,205.0,0.0,0.0
846d2bbffffffff,1.0,0.0,0.0
846d2c1ffffffff,64.0,28.0,0.0
846d2c3ffffffff,102.0,6.0,0.0
846d2c5ffffffff,15.0,11.0,0.0
846d2c7ffffffff,2.0,0.0,0.0
846d2c9ffffffff,688.0,107.0,0.0
846d2cbffffffff,90.0,37.0,0.0
846d2cdffffffff,8.0,0.0,0.0
846d2d1ffffffff,221.0,51.0,0.0
846d2d5ffffffff,8.0,0.0,0.0
846d2d9ffffffff,8.0,0.0,0.0
846d2dbffffffff,11.0,0.0,0.0
846d2ddffffffff,82.0,28.0,0.0
846d2e5ffffffff,24.0,11.0,0.0
846d2ebffffffff,2.0,0.0,0.0
846d303ffffffff,16.0,0.0,0.0
846d305ffffffff,13.0,0.0,0.0
846d309ffffffff,4.0,0.0,0.0
846d30dffffffff,315.0,27.0,0.0
846d311ffffffff,11.0,0.0,0.0
846d315ffffffff,5.0,0.0,0.0
846d319ffffffff,163.0,40.0,0.0
846d31bffffffff,45.0,0.0,0.0
846d341ffffffff,2.0,2.0,0.0
846d34bffffffff,31.0,14.0,0.0
846d34dffffffff,51.0,3.0,0.0
846d351ffffffff,2.0,0.0,0.0
846d35bffffffff,4.0,0.0,0.0
846d35dffffffff,319.0,42.0,0.0
846d361ffffffff,2.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0
846d369ffffffff,6.0,0.0,0.0
846d36dffffffff,2.0,0.0,0.0
846d60dffffffff,108.0,0.0,0.0
846d61bffffffff,20.0,0.0,0.0
846d64bffffffff,9.0,0.0,0.0
846d651ffffffff,215.0,0.0,0.0
846d653ffffffff,379.0,0.0,0.0
846d655ffffffff,16.0,0.0,0.0
846d659ffffffff,3.0,0.0,0.0
846d65bffffffff,29.0,0.0,0.0
846d65dffffffff,10.0,0.0,0.0
846d665ffffffff,4.0,0.0,0.0
846d667ffffffff,3.0,0.0,0.0
846d66dffffffff,1.0,0.0,0.0
846d681ffffffff,117.0,0.0,0.0
846d683ffffffff,45.0,0.0,0.0
846d689ffffffff,44.0,0.0,0.0
846d68bffffffff,552.0,0.0,0.0
846d68dffffffff,5.0,0.0,0.0
846d691ffffffff,195.0,0.0,0.0
846d699ffffffff,811.0,0.0,0.0
846d69bffffffff,306.0,0.0,0.0
846d69dffffffff,1528.0,0.0,0.0
846d6c3ffffffff,4.0,0.0,0.0
846d6c9ffffffff,10.0,0.0,0.0
846d6cbffffffff,2.0,0.0,0.0
846d6d1ffffffff,28.0,0.0,0.0
846d6d3ffffffff,49.0,0.0,0.0
846d6d5ffffffff,13.0,0.0,0.0
846d6d7ffffffff,30.0,0.0,0.0
846d6ddffffffff,2.0,0.0,0.0
846d741ffffffff,2.0,0.0,0.0
846d743ffffffff,27.0,0.0,0.0
846d745ffffffff,17.0,0.0,0.0
846d74bffffffff,3.0,0.0,0.0
846d759ffffffff,5.0,0.0,0.0
846d75bffffffff,2.0,0.0,0.0
846d769ffffffff,2.0,0.0,0.0
