cell_id,Spinus magellanicus,Spinus magellanicus longirostris,Spinus magellanicus [capitalis Group],Spinus magellanicus [magellanicus Group]
848f5d5ffffffff,4.0,0.0,0.0,0.0
848f5d7ffffffff,2.0,0.0,0.0,0.0
848f5ddffffffff,2.0,0.0,0.0,0.0
848f5e1ffffffff,12.0,0.0,0.0,0.0
848f5e9ffffffff,16.0,0.0,0.0,0.0
848f5ebffffffff,5.0,0.0,0.0,0.0
848f721ffffffff,8.0,0.0,0.0,0.0
848f725ffffffff,23.0,0.0,0.0,0.0
848f727ffffffff,9.0,0.0,0.0,0.0
848f72dffffffff,46.0,0.0,0.0,0.0
848f733ffffffff,30.0,0.0,0.0,0.0
848f737ffffffff,10.0,0.0,0.0,0.0
848f745ffffffff,1.0,0.0,0.0,0.0
848f761ffffffff,10.0,0.0,0.0,0.0
848f763ffffffff,2.0,0.0,0.0,0.0
848f765ffffffff,61.0,0.0,0.0,0.0
848f767ffffffff,13.0,0.0,0.0,0.0
848f769ffffffff,151.0,0.0,0.0,0.0
848f76bffffffff,8.0,0.0,0.0,0.0
848f76dffffffff,206.0,0.0,0.0,0.0
84a8001ffffffff,10.0,0.0,0.0,0.0
84a8005ffffffff,2.0,0.0,0.0,0.0
84a8009ffffffff,5.0,0.0,0.0,0.0
84a800dffffffff,11.0,0.0,0.0,0.0
84a8013ffffffff,2.0,0.0,0.0,0.0
84a8019ffffffff,3.0,0.0,0.0,0.0
84a801bffffffff,7.0,0.0,0.0,0.0
84a8021ffffffff,2.0,0.0,0.0,0.0
84a8025ffffffff,2.0,0.0,0.0,0.0
84a802dffffffff,10.0,0.0,0.0,0.0
84a8035ffffffff,3.0,0.0,0.0,0.0
84a803dffffffff,2.0,0.0,0.0,0.0
84a8041ffffffff,2.0,0.0,0.0,0.0
84a8043ffffffff,12.0,0.0,0.0,0.0
84a8049ffffffff,30.0,0.0,0.0,0.0
84a804bffffffff,8.0,0.0,0.0,0.0
84a804dffffffff,61.0,0.0,0.0,0.0
84a8055ffffffff,5.0,0.0,0.0,0.0
84a8057ffffffff,2.0,0.0,0.0,0.0
84a805dffffffff,9.0,0.0,0.0,0.0
84a8061ffffffff,9.0,0.0,0.0,0.0
84a8063ffffffff,5.0,0.0,0.0,0.0
84a8065ffffffff,2.0,0.0,0.0,0.0
84a8067ffffffff,141.0,0.0,0.0,0.0
84a8069ffffffff,30.0,0.0,0.0,0.0
84a806dffffffff,4.0,0.0,0.0,0.0
84a8101ffffffff,517.0,0.0,0.0,0.0
84a8103ffffffff,43.0,0.0,0.0,0.0
84a8105ffffffff,318.0,0.0,0.0,0.0
84a8107ffffffff,76.0,0.0,0.0,0.0
84a8109ffffffff,4.0,0.0,0.0,0.0
84a810bffffffff,16.0,0.0,0.0,0.0
84a810dffffffff,1.0,0.0,0.0,0.0
84a8113ffffffff,2.0,0.0,0.0,0.0
84a8115ffffffff,7.0,0.0,0.0,0.0
84a8117ffffffff,9.0,0.0,0.0,0.0
84a8119ffffffff,19.0,0.0,0.0,0.0
84a811bffffffff,7.0,0.0,0.0,0.0
84a811dffffffff,8.0,0.0,0.0,0.0
84a8121ffffffff,17.0,0.0,0.0,0.0
84a8123ffffffff,109.0,0.0,0.0,0.0
84a8125ffffffff,48.0,0.0,0.0,0.0
84a8127ffffffff,152.0,0.0,0.0,0.0
84a8129ffffffff,82.0,0.0,0.0,0.0
84a812bffffffff,100.0,0.0,0.0,0.0
84a812dffffffff,7.0,0.0,0.0,0.0
84a8131ffffffff,130.0,0.0,0.0,0.0
84a8135ffffffff,2.0,0.0,0.0,0.0
84a8137ffffffff,6.0,0.0,0.0,0.0
84a8139ffffffff,89.0,0.0,0.0,0.0
84a813bffffffff,22.0,0.0,0.0,0.0
84a813dffffffff,33.0,0.0,0.0,0.0
84a8143ffffffff,4.0,0.0,0.0,0.0
84a8153ffffffff,74.0,0.0,0.0,0.0
84a8155ffffffff,20.0,0.0,0.0,0.0
84a8157ffffffff,20.0,0.0,0.0,0.0
84a8159ffffffff,2.0,0.0,0.0,0.0
84a815bffffffff,54.0,0.0,0.0,0.0
84a818dffffffff,3.0,0.0,0.0,0.0
84a81c3ffffffff,3.0,0.0,0.0,0.0
84a81cdffffffff,126.0,0.0,0.0,0.0
84a81e1ffffffff,9.0,0.0,0.0,0.0
84a81e9ffffffff,56.0,0.0,0.0,0.0
84a81ebffffffff,16.0,0.0,0.0,0.0
84a81edffffffff,425.0,0.0,0.0,0.0
84a8203ffffffff,4.0,0.0,0.0,0.0
84a8207ffffffff,2.0,0.0,0.0,0.0
84a8209ffffffff,2.0,0.0,0.0,0.0
84a8211ffffffff,7.0,0.0,0.0,0.0
84a8213ffffffff,4.0,0.0,0.0,0.0
84a8215ffffffff,8.0,0.0,0.0,0.0
84a8219ffffffff,9.0,0.0,0.0,0.0
84a821bffffffff,2.0,0.0,0.0,0.0
84a8221ffffffff,4.0,0.0,0.0,0.0
84a8223ffffffff,1.0,0.0,0.0,0.0
84a8225ffffffff,6.0,0.0,0.0,0.0
84a8227ffffffff,2.0,0.0,0.0,0.0
84a8229ffffffff,4.0,0.0,0.0,0.0
84a822bffffffff,25.0,0.0,0.0,0.0
84a822dffffffff,2.0,0.0,0.0,0.0
84a8231ffffffff,2.0,0.0,0.0,0.0
84a8233ffffffff,3.0,0.0,0.0,0.0
84a8235ffffffff,15.0,0.0,0.0,0.0
84a8237ffffffff,10.0,0.0,0.0,0.0
84a8241ffffffff,61.0,0.0,0.0,0.0
84a8245ffffffff,58.0,0.0,0.0,0.0
84a8247ffffffff,22.0,0.0,0.0,0.0
84a824bffffffff,1.0,0.0,0.0,0.0
84a8251ffffffff,2.0,0.0,0.0,0.0
84a8255ffffffff,4.0,0.0,0.0,0.0
84a8257ffffffff,38.0,0.0,0.0,0.0
84a8259ffffffff,1.0,0.0,0.0,0.0
84a8261ffffffff,5.0,0.0,0.0,0.0
84a8265ffffffff,2.0,0.0,0.0,0.0
84a8267ffffffff,7.0,0.0,0.0,0.0
84a826dffffffff,5.0,0.0,0.0,0.0
84a82c5ffffffff,2.0,0.0,0.0,0.0
84a82c9ffffffff,11.0,0.0,0.0,0.0
84a82dbffffffff,1.0,0.0,0.0,0.0
84a82ddffffffff,2.0,0.0,0.0,0.0
84a82e1ffffffff,16.0,0.0,0.0,0.0
84a82e3ffffffff,4.0,0.0,0.0,0.0
84a82e7ffffffff,4.0,0.0,0.0,0.0
84a82edffffffff,4.0,0.0,0.0,0.0
84a8311ffffffff,78.0,0.0,0.0,0.0
84a8313ffffffff,71.0,0.0,0.0,0.0
84a8317ffffffff,29.0,0.0,0.0,0.0
84a8319ffffffff,8.0,0.0,0.0,0.0
84a831bffffffff,77.0,0.0,0.0,0.0
84a831dffffffff,7.0,0.0,0.0,0.0
84a8333ffffffff,6.0,0.0,0.0,0.0
84a8337ffffffff,10.0,0.0,0.0,0.0
84a8351ffffffff,1.0,0.0,0.0,0.0
84a8353ffffffff,53.0,0.0,0.0,0.0
84a8357ffffffff,8.0,0.0,0.0,0.0
84a8359ffffffff,2.0,0.0,0.0,0.0
84a835bffffffff,22.0,0.0,0.0,0.0
84a8403ffffffff,2.0,0.0,0.0,0.0
84a844dffffffff,1.0,0.0,0.0,0.0
84a845bffffffff,2.0,0.0,0.0,0.0
84a8465ffffffff,1.0,0.0,0.0,0.0
84a85d3ffffffff,6.0,0.0,0.0,0.0
84a8605ffffffff,11.0,0.0,0.0,0.0
84a860dffffffff,7.0,0.0,0.0,0.0
