cell_id,Symposiachrus trivirgatus,Symposiachrus trivirgatus [trivirgatus Group],Symposiachrus trivirgatus gouldii/melanorrhous
849cf3bffffffff,3.0,0.0,0.0
849cf53ffffffff,40.0,7.0,0.0
849d013ffffffff,50.0,1.0,4.0
849d01bffffffff,17.0,0.0,1.0
849d0abffffffff,1.0,0.0,0.0
849d0b1ffffffff,2.0,0.0,0.0
849d0b3ffffffff,4.0,0.0,0.0
849d0b5ffffffff,19.0,0.0,0.0
849d0b7ffffffff,6.0,0.0,1.0
849d0bdffffffff,25.0,0.0,0.0
849d0c1ffffffff,1.0,0.0,0.0
849d0c5ffffffff,19.0,0.0,0.0
849d0cdffffffff,119.0,0.0,3.0
849d0e1ffffffff,10.0,0.0,0.0
849d0e9ffffffff,13.0,0.0,1.0
849d0edffffffff,3.0,0.0,0.0
849d215ffffffff,1.0,0.0,0.0
849d217ffffffff,4.0,0.0,0.0
849d21dffffffff,56.0,0.0,0.0
849d233ffffffff,1.0,0.0,0.0
849d23bffffffff,24.0,0.0,3.0
849d24bffffffff,13.0,0.0,0.0
849d251ffffffff,2.0,0.0,0.0
849d255ffffffff,5.0,0.0,0.0
849d25bffffffff,4.0,0.0,0.0
849d2a5ffffffff,2.0,0.0,0.0
849d2adffffffff,2.0,0.0,0.0
84be0e7ffffffff,3.0,0.0,0.0
84be181ffffffff,49.0,0.0,6.0
84be183ffffffff,24.0,0.0,0.0
84be185ffffffff,7.0,0.0,3.0
84be187ffffffff,16.0,0.0,4.0
84be189ffffffff,18.0,0.0,0.0
84be18bffffffff,4.0,0.0,0.0
84be18dffffffff,43.0,0.0,1.0
84be199ffffffff,40.0,0.0,15.0
84be19dffffffff,9.0,0.0,0.0
84be1a1ffffffff,26.0,0.0,2.0
84be1a3ffffffff,11.0,0.0,0.0
84be1a5ffffffff,13.0,0.0,0.0
84be1a7ffffffff,5.0,0.0,0.0
84be1a9ffffffff,7.0,0.0,2.0
84be1abffffffff,9.0,0.0,1.0
84be1bdffffffff,2.0,0.0,0.0
84be1d1ffffffff,10.0,0.0,2.0
84be1d5ffffffff,8.0,0.0,2.0
84be1d7ffffffff,5.0,0.0,2.0
84be883ffffffff,64.0,0.0,3.0
84be887ffffffff,41.0,0.0,4.0
84be88bffffffff,249.0,0.0,16.0
84be895ffffffff,6.0,0.0,0.0
84be899ffffffff,2.0,0.0,0.0
84be89bffffffff,4.0,0.0,0.0
84be89dffffffff,107.0,0.0,14.0
84be8a3ffffffff,1.0,0.0,1.0
84be8b5ffffffff,8.0,0.0,0.0
84be8b7ffffffff,10.0,0.0,4.0
84be8bdffffffff,11.0,0.0,0.0
84be8d1ffffffff,1020.0,0.0,81.0
84be8d3ffffffff,21.0,0.0,0.0
84be8d5ffffffff,10.0,0.0,0.0
84be8d7ffffffff,188.0,0.0,11.0
84be8d9ffffffff,155.0,0.0,6.0
84be8dbffffffff,159.0,0.0,4.0
84be8ddffffffff,12.0,0.0,1.0
84bea91ffffffff,15.0,0.0,2.0
84bea95ffffffff,8.0,0.0,0.0
84bea97ffffffff,36.0,0.0,0.0
84bea9bffffffff,3.0,0.0,0.0
84beab3ffffffff,364.0,0.0,30.0
84beabbffffffff,159.0,0.0,4.0
84bef0dffffffff,3.0,0.0,0.0
84bef2dffffffff,62.0,0.0,2.0
84bef61ffffffff,9.0,0.0,0.0
84bef65ffffffff,4.0,0.0,0.0
84bef67ffffffff,53.0,0.0,0.0
84bef69ffffffff,4.0,0.0,0.0
84bef6bffffffff,1.0,0.0,0.0
84bef6dffffffff,78.0,0.0,1.0
