cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
8431ae7ffffffff,2.0,2.0,0.0
843c021ffffffff,17.0,17.0,0.0
843c025ffffffff,1.0,1.0,0.0
843c027ffffffff,3.0,3.0,0.0
843c029ffffffff,629.0,628.0,0.0
843c02dffffffff,293.0,293.0,0.0
843c063ffffffff,5.0,5.0,0.0
843c065ffffffff,3.0,3.0,0.0
843c067ffffffff,120.0,120.0,0.0
843c06dffffffff,3.0,3.0,0.0
843c0a5ffffffff,31.0,31.0,0.0
843c0adffffffff,5.0,5.0,0.0
843c0b5ffffffff,14.0,14.0,0.0
843c139ffffffff,2.0,2.0,0.0
843c159ffffffff,26.0,26.0,0.0
843c15bffffffff,2.0,2.0,0.0
843c165ffffffff,4.0,4.0,0.0
843c189ffffffff,11.0,11.0,0.0
843c191ffffffff,2.0,2.0,0.0
843c199ffffffff,88.0,88.0,0.0
843c19bffffffff,2.0,2.0,0.0
843c1a3ffffffff,2.0,2.0,0.0
843c1b5ffffffff,15.0,15.0,0.0
843c1c3ffffffff,65.0,65.0,0.0
843c1c7ffffffff,5.0,5.0,0.0
843c1c9ffffffff,6.0,6.0,0.0
843c1d1ffffffff,15.0,15.0,0.0
843c1d3ffffffff,53.0,53.0,0.0
843c1d7ffffffff,17.0,17.0,0.0
843c303ffffffff,3.0,3.0,0.0
843c307ffffffff,21.0,21.0,0.0
843c315ffffffff,2.0,2.0,0.0
843c333ffffffff,10.0,10.0,0.0
843c335ffffffff,16.0,16.0,0.0
843c337ffffffff,3.0,3.0,0.0
843c33bffffffff,78.0,78.0,0.0
843c33dffffffff,4.0,4.0,0.0
843c341ffffffff,9.0,9.0,0.0
843c345ffffffff,6.0,6.0,0.0
843c361ffffffff,3.0,3.0,0.0
843c369ffffffff,4.0,4.0,0.0
843c36bffffffff,5.0,5.0,0.0
843c423ffffffff,1.0,1.0,0.0
843c5a1ffffffff,7.0,0.0,6.0
843c5a9ffffffff,4.0,0.0,0.0
