cell_id,Nyctibius jamaicensis,Nyctibius jamaicensis [mexicanus Group],Nyctibius jamaicensis jamaicensis/abbotti
8449987ffffffff,73.0,0.0,0.0
84499e3ffffffff,2.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0
8449a2bffffffff,1.0,0.0,0.0
8449a89ffffffff,2.0,0.0,0.0
8449a8bffffffff,2.0,0.0,0.0
8449a91ffffffff,49.0,0.0,0.0
8449a93ffffffff,6.0,0.0,0.0
8449a97ffffffff,3.0,0.0,0.0
8449a9bffffffff,1.0,0.0,0.0
8449ad7ffffffff,11.0,0.0,0.0
8449ae3ffffffff,5.0,0.0,0.0
8449b53ffffffff,4.0,0.0,0.0
8449b6dffffffff,3.0,0.0,0.0
844cd29ffffffff,5.0,0.0,0.0
844cd2dffffffff,2.0,0.0,0.0
846725bffffffff,71.0,0.0,20.0
8467305ffffffff,10.0,0.0,0.0
8467329ffffffff,187.0,0.0,2.0
846732dffffffff,9.0,0.0,3.0
8467363ffffffff,37.0,0.0,3.0
8467365ffffffff,5.0,0.0,0.0
8467367ffffffff,217.0,0.0,0.0
846d04dffffffff,2.0,0.0,0.0
846d053ffffffff,111.0,17.0,0.0
846d059ffffffff,8.0,0.0,0.0
846d05bffffffff,11.0,1.0,0.0
846d159ffffffff,123.0,15.0,0.0
846d15dffffffff,2.0,0.0,0.0
846d201ffffffff,3.0,0.0,0.0
846d203ffffffff,3.0,0.0,0.0
846d20bffffffff,1.0,0.0,0.0
846d20dffffffff,90.0,0.0,0.0
846d21dffffffff,25.0,4.0,0.0
846d231ffffffff,4.0,0.0,0.0
846d239ffffffff,1.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d247ffffffff,1.0,0.0,0.0
846d253ffffffff,4.0,0.0,0.0
846d255ffffffff,5.0,0.0,0.0
846d267ffffffff,4.0,0.0,0.0
846d295ffffffff,275.0,0.0,0.0
846d2a1ffffffff,33.0,5.0,0.0
846d2a3ffffffff,3.0,0.0,0.0
846d2abffffffff,3.0,0.0,0.0
846d2adffffffff,2.0,0.0,0.0
846d2b9ffffffff,98.0,6.0,0.0
846d2c1ffffffff,4.0,4.0,0.0
846d2c9ffffffff,10.0,4.0,0.0
846d2cbffffffff,19.0,3.0,0.0
846d309ffffffff,1.0,0.0,0.0
846d30dffffffff,6.0,1.0,0.0
846d313ffffffff,2.0,0.0,0.0
846d319ffffffff,10.0,0.0,0.0
846d34dffffffff,58.0,0.0,0.0
846d35bffffffff,2.0,0.0,0.0
846d35dffffffff,17.0,0.0,0.0
846d603ffffffff,1.0,0.0,0.0
846d607ffffffff,1.0,0.0,0.0
846d60dffffffff,3.0,0.0,0.0
846d613ffffffff,13.0,0.0,0.0
846d617ffffffff,83.0,0.0,0.0
846d639ffffffff,19.0,0.0,0.0
846d645ffffffff,2.0,0.0,0.0
846d653ffffffff,11.0,0.0,0.0
846d65dffffffff,1.0,0.0,0.0
846d681ffffffff,51.0,0.0,0.0
846d683ffffffff,44.0,0.0,0.0
846d685ffffffff,10.0,0.0,0.0
846d687ffffffff,16.0,0.0,0.0
846d689ffffffff,3.0,0.0,0.0
846d68dffffffff,26.0,0.0,0.0
846d695ffffffff,37.0,0.0,0.0
846d69dffffffff,6.0,0.0,0.0
846d6abffffffff,2.0,0.0,0.0
846d6b1ffffffff,1.0,0.0,0.0
846d6b9ffffffff,65.0,0.0,0.0
846d6bbffffffff,88.0,2.0,0.0
846d6bdffffffff,6.0,0.0,0.0
846d6c7ffffffff,4.0,0.0,0.0
846d6d5ffffffff,2.0,0.0,0.0
846d6e9ffffffff,35.0,0.0,0.0
846d6ebffffffff,11.0,0.0,0.0
846d6edffffffff,32.0,0.0,0.0
846d745ffffffff,4.0,0.0,0.0
846d74bffffffff,116.0,0.0,0.0
846d769ffffffff,11.0,0.0,0.0
