cell_id,Lamprotornis mevesii,Lamprotornis mevesii mevesii,Lamprotornis mevesii violacior,Lamprotornis mevesii benguelensis
8497511ffffffff,6.0,0.0,0.0,0.0
8497513ffffffff,25.0,1.0,0.0,0.0
8497515ffffffff,137.0,16.0,0.0,0.0
8497517ffffffff,92.0,10.0,0.0,0.0
8497519ffffffff,2.0,1.0,0.0,0.0
849751bffffffff,2.0,0.0,0.0,0.0
8497529ffffffff,3.0,0.0,0.0,0.0
849752bffffffff,1.0,0.0,0.0,0.0
849753bffffffff,2.0,0.0,0.0,0.0
8497545ffffffff,4.0,0.0,0.0,0.0
8497555ffffffff,4.0,0.0,0.0,0.0
8497557ffffffff,31.0,1.0,0.0,0.0
8497559ffffffff,5.0,0.0,0.0,0.0
84975c5ffffffff,12.0,0.0,0.0,0.0
84975c7ffffffff,22.0,2.0,0.0,0.0
84975c9ffffffff,4.0,0.0,0.0,0.0
84975cbffffffff,15.0,0.0,0.0,0.0
84975d1ffffffff,14.0,0.0,0.0,0.0
84975d9ffffffff,10.0,0.0,0.0,0.0
84975dbffffffff,2.0,0.0,0.0,0.0
84975ddffffffff,6.0,0.0,0.0,0.0
84975e1ffffffff,16.0,3.0,0.0,0.0
84975e9ffffffff,28.0,0.0,0.0,0.0
84975ebffffffff,32.0,4.0,0.0,0.0
8497701ffffffff,1.0,0.0,0.0,0.0
8497705ffffffff,2.0,0.0,0.0,0.0
8497717ffffffff,1.0,0.0,0.0,0.0
8497725ffffffff,10.0,0.0,0.0,0.0
8497747ffffffff,3.0,0.0,0.0,0.0
8497749ffffffff,1.0,0.0,0.0,0.0
849774dffffffff,5.0,0.0,0.0,0.0
8497a81ffffffff,2.0,0.0,0.0,0.0
8497a85ffffffff,7.0,0.0,0.0,0.0
8497aabffffffff,99.0,11.0,0.0,0.0
8497ab5ffffffff,3.0,0.0,0.0,0.0
84ac819ffffffff,1.0,0.0,0.0,0.0
84ac81bffffffff,94.0,0.0,0.0,0.0
84ac885ffffffff,3.0,0.0,0.0,0.0
84ac887ffffffff,2.0,0.0,0.0,0.0
84ac8a9ffffffff,92.0,0.0,0.0,0.0
84ac8e3ffffffff,6.0,0.0,0.0,0.0
84ac8e7ffffffff,16.0,0.0,0.0,0.0
84ac961ffffffff,5.0,0.0,0.0,0.0
84ac969ffffffff,3.0,0.0,0.0,0.0
84ac96dffffffff,2.0,2.0,0.0,0.0
84ac99dffffffff,2.0,0.0,0.0,0.0
84ac9d7ffffffff,2.0,0.0,0.0,0.0
84ac9dbffffffff,3.0,0.0,0.0,0.0
84bcd27ffffffff,5.0,0.0,0.0,0.0
84bcd87ffffffff,2.0,0.0,0.0,0.0
84bcda3ffffffff,11.0,0.0,0.0,0.0
84bcdc1ffffffff,6.0,0.0,0.0,0.0
