cell_id,Cygnus columbianus,Cygnus columbianus columbianus,Cygnus columbianus bewickii,Cygnus columbianus columbianus x bewickii
8419591ffffffff,2.0,0.0,0.0,0.0
84195b9ffffffff,3.0,0.0,1.0,0.0
84195c5ffffffff,1.0,0.0,0.0,0.0
84195cbffffffff,2.0,0.0,0.0,0.0
84195d9ffffffff,2.0,0.0,0.0,0.0
8419699ffffffff,2.0,0.0,0.0,0.0
841969dffffffff,2.0,0.0,0.0,0.0
841973bffffffff,9.0,0.0,0.0,0.0
841aa35ffffffff,1.0,0.0,0.0,0.0
841e04dffffffff,2.0,0.0,0.0,0.0
841e05bffffffff,6.0,0.0,2.0,0.0
841e067ffffffff,17.0,0.0,3.0,0.0
841e06dffffffff,5.0,0.0,0.0,0.0
841e0e7ffffffff,1.0,0.0,1.0,0.0
841e1b3ffffffff,5.0,0.0,0.0,0.0
841e1c1ffffffff,2.0,0.0,0.0,0.0
841e1c5ffffffff,6.0,0.0,2.0,0.0
841e201ffffffff,1.0,0.0,0.0,0.0
841e20dffffffff,6.0,0.0,0.0,0.0
841e239ffffffff,1.0,0.0,0.0,0.0
841e2bbffffffff,2.0,0.0,0.0,0.0
841e2edffffffff,1.0,0.0,1.0,0.0
841e319ffffffff,9.0,0.0,0.0,0.0
841e351ffffffff,7.0,0.0,0.0,0.0
841e359ffffffff,2.0,0.0,0.0,0.0
841e465ffffffff,7.0,0.0,3.0,0.0
841e467ffffffff,4.0,0.0,0.0,0.0
841e5adffffffff,1.0,0.0,1.0,0.0
841e5e5ffffffff,9.0,0.0,7.0,0.0
841e5edffffffff,2.0,0.0,0.0,0.0
841e615ffffffff,1.0,0.0,1.0,0.0
841e6e7ffffffff,2.0,0.0,2.0,0.0
841e745ffffffff,2.0,0.0,2.0,0.0
841e847ffffffff,3.0,0.0,3.0,0.0
841ea53ffffffff,5.0,0.0,5.0,0.0
841ec09ffffffff,2.0,0.0,0.0,0.0
841ec21ffffffff,2.0,0.0,0.0,0.0
841ec93ffffffff,2.0,0.0,0.0,0.0
841ec99ffffffff,1.0,0.0,0.0,0.0
841ec9bffffffff,1.0,0.0,0.0,0.0
841ec9dffffffff,27.0,0.0,4.0,0.0
841eca9ffffffff,6.0,0.0,0.0,0.0
841ecadffffffff,7.0,0.0,0.0,0.0
841ecbdffffffff,2.0,0.0,0.0,0.0
841eccbffffffff,12.0,0.0,4.0,0.0
841ecd5ffffffff,4.0,0.0,0.0,0.0
841ecd7ffffffff,6.0,0.0,0.0,0.0
841ece3ffffffff,1.0,0.0,0.0,0.0
841ece7ffffffff,17.0,0.0,0.0,0.0
841ed45ffffffff,2.0,0.0,2.0,0.0
841ed47ffffffff,2.0,0.0,2.0,0.0
841ede9ffffffff,1.0,0.0,0.0,0.0
841ee65ffffffff,6.0,0.0,0.0,0.0
841ee67ffffffff,4.0,0.0,0.0,0.0
841ee91ffffffff,2.0,0.0,0.0,0.0
841ee97ffffffff,4.0,0.0,0.0,0.0
841ef01ffffffff,1.0,0.0,0.0,0.0
841f09bffffffff,2.0,0.0,0.0,0.0
841f0abffffffff,1.0,0.0,0.0,0.0
841f0b1ffffffff,3.0,0.0,0.0,0.0
841f0d1ffffffff,2.0,0.0,0.0,0.0
841f0d3ffffffff,2.0,0.0,0.0,0.0
841f0dbffffffff,1.0,0.0,0.0,0.0
841f1a1ffffffff,1.0,0.0,1.0,0.0
841f269ffffffff,5.0,0.0,3.0,0.0
841f26dffffffff,2.0,0.0,0.0,0.0
841f4e7ffffffff,3.0,0.0,0.0,0.0
