cell_id,Attila spadiceus,Attila spadiceus [flammulatus Group],Attila spadiceus spadiceus/uropygiatus
838044fffffffff,23.0,0.0,0.0
838046fffffffff,191.0,0.0,1.0
83804dfffffffff,1.0,0.0,0.0
838061fffffffff,9.0,0.0,0.0
838062fffffffff,6.0,0.0,0.0
838063fffffffff,2.0,0.0,0.0
838065fffffffff,46.0,0.0,0.0
838066fffffffff,5.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0
83806afffffffff,9.0,0.0,0.0
83806bfffffffff,25.0,0.0,0.0
838071fffffffff,22.0,0.0,0.0
838072fffffffff,6.0,0.0,0.0
838073fffffffff,8.0,0.0,0.0
838074fffffffff,7.0,0.0,0.0
838075fffffffff,5.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0
838116fffffffff,2.0,0.0,0.0
838132fffffffff,25.0,0.0,0.0
838136fffffffff,19.0,0.0,2.0
838140fffffffff,6.0,0.0,0.0
838142fffffffff,6.0,0.0,0.0
838143fffffffff,14.0,0.0,0.0
838145fffffffff,21.0,0.0,0.0
83814afffffffff,116.0,0.0,3.0
83814dfffffffff,92.0,0.0,0.0
83814efffffffff,62.0,0.0,0.0
838158fffffffff,5.0,0.0,0.0
838159fffffffff,8.0,0.0,0.0
83815afffffffff,5.0,0.0,1.0
83815cfffffffff,9.0,0.0,0.0
83815dfffffffff,66.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838163fffffffff,41.0,0.0,0.0
838180fffffffff,3.0,0.0,0.0
838181fffffffff,105.0,0.0,4.0
838185fffffffff,103.0,0.0,45.0
838a00fffffffff,2.0,0.0,0.0
838a04fffffffff,5.0,0.0,1.0
838a05fffffffff,42.0,0.0,2.0
838a10fffffffff,18.0,0.0,0.0
838a12fffffffff,2.0,0.0,0.0
838a15fffffffff,12.0,0.0,1.0
838a18fffffffff,2.0,0.0,0.0
838a19fffffffff,1.0,0.0,1.0
838a1afffffffff,8.0,0.0,1.0
838a20fffffffff,1.0,0.0,1.0
838a21fffffffff,6.0,0.0,1.0
838a23fffffffff,5.0,0.0,2.0
838a24fffffffff,13.0,0.0,0.0
838a25fffffffff,4.0,0.0,0.0
838a31fffffffff,48.0,0.0,2.0
838a33fffffffff,1.0,0.0,0.0
838a35fffffffff,2.0,0.0,0.0
838a45fffffffff,201.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0
838a5afffffffff,1.0,0.0,1.0
838a63fffffffff,26.0,0.0,0.0
838a68fffffffff,19.0,0.0,0.0
838a69fffffffff,240.0,0.0,0.0
838a6dfffffffff,418.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0
838a70fffffffff,6.0,0.0,0.0
838a73fffffffff,7.0,0.0,0.0
838a80fffffffff,53.0,0.0,1.0
838a81fffffffff,26.0,0.0,0.0
838a82fffffffff,8.0,0.0,0.0
838a8cfffffffff,1.0,0.0,1.0
838a8dfffffffff,2.0,0.0,0.0
838a91fffffffff,4.0,0.0,0.0
838a92fffffffff,21.0,0.0,0.0
838a9cfffffffff,43.0,0.0,0.0
838a9efffffffff,1.0,0.0,1.0
838aa8fffffffff,17.0,0.0,2.0
838aaafffffffff,21.0,0.0,2.0
838aabfffffffff,4.0,0.0,0.0
838aacfffffffff,4.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0
838ab2fffffffff,4.0,0.0,0.0
838ad8fffffffff,6.0,0.0,2.0
838adbfffffffff,29.0,0.0,1.0
838adcfffffffff,18.0,0.0,0.0
838adefffffffff,6.0,0.0,2.0
838af0fffffffff,13.0,0.0,0.0
838af2fffffffff,78.0,0.0,8.0
838af4fffffffff,28.0,0.0,2.0
838af6fffffffff,659.0,0.0,46.0
838b0afffffffff,2.0,0.0,0.0
838b0cfffffffff,2.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0
838b22fffffffff,6.0,0.0,0.0
838b23fffffffff,2.0,0.0,0.0
838b2cfffffffff,6.0,0.0,0.0
838b2efffffffff,4.0,0.0,0.0
838b40fffffffff,60.0,0.0,0.0
838b42fffffffff,4.0,0.0,0.0
838b44fffffffff,268.0,0.0,2.0
838b46fffffffff,16.0,0.0,0.0
838b48fffffffff,1.0,0.0,1.0
838b4efffffffff,8.0,0.0,0.0
838b51fffffffff,23.0,0.0,1.0
838b52fffffffff,3.0,0.0,0.0
838b53fffffffff,1.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0
838b5cfffffffff,52.0,0.0,6.0
838b5efffffffff,2.0,0.0,0.0
838b61fffffffff,42.0,0.0,0.0
838b62fffffffff,26.0,0.0,0.0
838b63fffffffff,198.0,0.0,2.0
838b68fffffffff,6.0,0.0,0.0
838b69fffffffff,42.0,0.0,0.0
838b6cfffffffff,6.0,0.0,0.0
838b6efffffffff,125.0,0.0,0.0
838b70fffffffff,6.0,0.0,0.0
838b71fffffffff,325.0,0.0,2.0
838b74fffffffff,41.0,0.0,0.0
838b75fffffffff,4.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
838b83fffffffff,1.0,0.0,1.0
838b84fffffffff,6.0,0.0,0.0
838b88fffffffff,16.0,0.0,0.0
838b99fffffffff,48.0,0.0,4.0
838b9dfffffffff,287.0,0.0,0.0
838bb5fffffffff,1.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0
838f2cfffffffff,12.0,0.0,0.0
838f40fffffffff,128.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f44fffffffff,13.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0
838f48fffffffff,60.0,0.0,0.0
838f49fffffffff,4.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f4bfffffffff,4.0,0.0,0.0
838f4efffffffff,1.0,0.0,0.0
838f61fffffffff,64.0,0.0,0.0
838f63fffffffff,2.0,0.0,0.0
838f65fffffffff,36.0,0.0,0.0
838f6bfffffffff,10.0,0.0,0.0
838f6efffffffff,3.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f71fffffffff,15.0,0.0,0.0
838f72fffffffff,10.0,0.0,0.0
838f73fffffffff,4.0,0.0,0.0
838f74fffffffff,21.0,0.0,1.0
83a596fffffffff,75.0,0.0,8.0
83a891fffffffff,76.0,0.0,18.0
83b324fffffffff,2.0,0.0,0.0
