cell_id,Turdus ignobilis,Turdus ignobilis ignobilis/goodfellowi,Turdus ignobilis debilis
838b51fffffffff,53.0,0.0,5.0
838b52fffffffff,2.0,0.0,0.0
838b56fffffffff,25.0,0.0,0.0
838b5cfffffffff,47.0,0.0,5.0
838b5dfffffffff,9.0,0.0,0.0
838b61fffffffff,1296.0,0.0,79.0
838b62fffffffff,38.0,0.0,4.0
838b63fffffffff,581.0,0.0,29.0
838b68fffffffff,3.0,0.0,0.0
838b69fffffffff,16.0,0.0,0.0
838b6efffffffff,41.0,0.0,0.0
838b70fffffffff,10.0,0.0,0.0
838b71fffffffff,436.0,0.0,2.0
838b72fffffffff,6.0,0.0,0.0
838b74fffffffff,33.0,0.0,0.0
838b75fffffffff,19.0,0.0,0.0
838b76fffffffff,22.0,0.0,0.0
838b83fffffffff,2.0,0.0,0.0
838b99fffffffff,8.0,0.0,0.0
838bb5fffffffff,2.0,0.0,0.0
838e64fffffffff,162.0,0.0,0.0
838e65fffffffff,46.0,0.0,0.0
838f29fffffffff,6.0,0.0,0.0
838f2dfffffffff,9.0,0.0,0.0
838f40fffffffff,459.0,0.0,18.0
838f42fffffffff,50.0,0.0,0.0
838f43fffffffff,38.0,0.0,2.0
838f44fffffffff,23.0,0.0,2.0
838f46fffffffff,1268.0,0.0,37.0
838f48fffffffff,41.0,0.0,0.0
838f4afffffffff,164.0,0.0,0.0
838f4bfffffffff,19.0,0.0,0.0
838f4cfffffffff,36.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f55fffffffff,5.0,0.0,0.0
838f59fffffffff,8.0,0.0,0.0
838f5cfffffffff,3.0,0.0,0.0
838f5dfffffffff,45.0,0.0,0.0
838f61fffffffff,177.0,0.0,19.0
838f63fffffffff,2.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6bfffffffff,11.0,0.0,0.0
838f6cfffffffff,13.0,0.0,0.0
838f6efffffffff,6.0,0.0,0.0
838f70fffffffff,228.0,0.0,16.0
838f71fffffffff,24.0,0.0,4.0
838f72fffffffff,709.0,0.0,63.0
838f73fffffffff,29.0,0.0,1.0
838f74fffffffff,228.0,0.0,0.0
838f76fffffffff,252.0,0.0,17.0
83b324fffffffff,1.0,0.0,0.0
83b325fffffffff,13.0,0.0,0.0
83b362fffffffff,2.0,0.0,0.0
