cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
822c0ffffffffff,489.0,0.0,0.0,0.0,0.0
822c17fffffffff,124.0,0.0,0.0,0.0,0.0
822c1ffffffffff,130.0,0.0,0.0,0.0,0.0
822c27fffffffff,299.0,3.0,0.0,0.0,0.0
822c2ffffffffff,806.0,0.0,0.0,0.0,0.0
822c37fffffffff,160.0,3.0,0.0,0.0,0.0
822c47fffffffff,10.0,0.0,0.0,0.0,0.0
822c4ffffffffff,2.0,0.0,0.0,0.0,0.0
822c5ffffffffff,1.0,0.0,0.0,0.0,0.0
822c67fffffffff,17.0,0.0,0.0,0.0,0.0
822c6ffffffffff,6.0,0.0,0.0,0.0,0.0
822c77fffffffff,58.0,0.0,0.0,0.0,0.0
822c87fffffffff,31.0,0.0,0.0,0.0,0.0
822c8ffffffffff,65.0,0.0,0.0,0.0,0.0
822c97fffffffff,1621.0,128.0,0.0,0.0,0.0
822c9ffffffffff,24.0,0.0,0.0,0.0,0.0
822ca7fffffffff,7.0,0.0,0.0,0.0,0.0
822caffffffffff,163.0,0.0,0.0,0.0,0.0
822cc7fffffffff,602.0,0.0,0.0,0.0,0.0
822ccffffffffff,45.0,0.0,0.0,0.0,0.0
822cd7fffffffff,167.0,0.0,0.0,0.0,0.0
822cdffffffffff,71.0,0.0,0.0,0.0,0.0
822ce7fffffffff,161.0,0.0,0.0,0.0,0.0
822cf7fffffffff,969.0,0.0,0.0,0.0,0.0
822d07fffffffff,150.0,6.0,0.0,0.0,0.0
822d17fffffffff,536.0,2.0,0.0,0.0,0.0
822d1ffffffffff,46.0,7.0,0.0,0.0,0.0
822d27fffffffff,6.0,0.0,0.0,0.0,0.0
822d2ffffffffff,32.0,0.0,0.0,0.0,0.0
822d37fffffffff,980.0,11.0,0.0,0.0,0.0
822d47fffffffff,1.0,0.0,0.0,0.0,0.0
822d4ffffffffff,1.0,0.0,0.0,0.0,0.0
822d57fffffffff,11.0,0.0,0.0,0.0,0.0
822d5ffffffffff,50.0,0.0,0.0,0.0,0.0
822d67fffffffff,318.0,0.0,0.0,0.0,0.0
822d77fffffffff,63.0,0.0,0.0,0.0,0.0
822d87fffffffff,40.0,0.0,0.0,0.0,0.0
822d97fffffffff,11.0,0.0,0.0,0.0,0.0
822da7fffffffff,946.0,15.0,0.0,0.0,0.0
822daffffffffff,479.0,0.0,0.0,0.0,0.0
822db7fffffffff,11525.0,2302.0,0.0,0.0,0.0
822e0ffffffffff,11.0,0.0,0.0,0.0,0.0
822e17fffffffff,16.0,5.0,0.0,0.0,0.0
822e2ffffffffff,3.0,0.0,0.0,0.0,0.0
822e47fffffffff,2.0,0.0,0.0,0.0,0.0
822e67fffffffff,104.0,16.0,0.0,0.0,0.0
822e6ffffffffff,53.0,0.0,0.0,0.0,0.0
822e77fffffffff,24.0,7.0,0.0,0.0,0.0
822eaffffffffff,5.0,0.0,0.0,0.0,0.0
822ecffffffffff,22.0,0.0,0.0,0.0,0.0
822edffffffffff,4.0,0.0,0.0,0.0,0.0
822ef7fffffffff,2.0,0.0,0.0,0.0,0.0
822f47fffffffff,3.0,0.0,0.0,0.0,0.0
822f5ffffffffff,273.0,33.0,0.0,0.0,0.0
823007fffffffff,46.0,2.0,0.0,0.0,0.0
823017fffffffff,31.0,5.0,0.0,0.0,0.0
82301ffffffffff,19.0,2.0,0.0,0.0,0.0
823027fffffffff,16.0,0.0,0.0,0.0,0.0
82302ffffffffff,2.0,0.0,0.0,0.0,0.0
823037fffffffff,71.0,28.0,0.0,0.0,0.0
823087fffffffff,136.0,11.0,0.0,0.0,0.0
823097fffffffff,11.0,3.0,0.0,0.0,0.0
82309ffffffffff,617.0,119.0,0.0,0.0,0.0
8230a7fffffffff,6.0,0.0,0.0,0.0,0.0
8230affffffffff,7.0,1.0,0.0,0.0,0.0
