cell_id,Stilpnia cayana,Stilpnia cayana cayana/fulvescens,Stilpnia cayana [flava Group]
838036fffffffff,123.0,0.0,9.0
838048fffffffff,3.0,0.0,0.0
83804cfffffffff,17.0,0.0,0.0
83806afffffffff,11.0,0.0,0.0
8380a4fffffffff,2.0,0.0,0.0
838100fffffffff,9.0,0.0,1.0
838102fffffffff,311.0,0.0,9.0
838104fffffffff,18.0,0.0,0.0
838106fffffffff,68.0,0.0,10.0
838109fffffffff,11.0,0.0,0.0
838110fffffffff,6.0,0.0,0.0
838111fffffffff,1.0,0.0,0.0
838112fffffffff,8.0,0.0,0.0
838114fffffffff,16.0,0.0,2.0
838116fffffffff,26.0,0.0,1.0
838118fffffffff,8.0,0.0,0.0
83811cfffffffff,5.0,0.0,0.0
83811efffffffff,10.0,0.0,0.0
838120fffffffff,2.0,0.0,0.0
838121fffffffff,30.0,0.0,2.0
838124fffffffff,339.0,0.0,17.0
838125fffffffff,2.0,0.0,0.0
838126fffffffff,2.0,0.0,0.0
83812bfffffffff,4.0,0.0,0.0
83812cfffffffff,8.0,0.0,0.0
83812dfffffffff,40.0,0.0,5.0
838130fffffffff,118.0,0.0,6.0
838131fffffffff,2.0,0.0,0.0
838132fffffffff,124.0,0.0,6.0
838133fffffffff,336.0,0.0,13.0
838134fffffffff,10.0,0.0,0.0
838136fffffffff,13.0,0.0,0.0
838140fffffffff,2.0,0.0,0.0
838142fffffffff,6.0,0.0,0.0
838143fffffffff,2.0,0.0,0.0
838145fffffffff,9.0,0.0,0.0
838146fffffffff,4.0,0.0,0.0
83814dfffffffff,2.0,0.0,0.0
83814efffffffff,2.0,0.0,0.0
838150fffffffff,4.0,0.0,0.0
838151fffffffff,6.0,0.0,0.0
838153fffffffff,1.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
83815cfffffffff,3.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838171fffffffff,235.0,0.0,0.0
838173fffffffff,5.0,0.0,0.0
838174fffffffff,3.0,0.0,0.0
838175fffffffff,5.0,0.0,0.0
838180fffffffff,110.0,0.0,3.0
838181fffffffff,588.0,0.0,26.0
838183fffffffff,169.0,0.0,4.0
838185fffffffff,220.0,0.0,23.0
838188fffffffff,8.0,0.0,0.0
83818afffffffff,7.0,0.0,0.0
83818cfffffffff,8.0,0.0,0.0
83818efffffffff,77.0,0.0,0.0
838199fffffffff,12.0,0.0,0.0
83819dfffffffff,38.0,0.0,0.0
8381a1fffffffff,31.0,0.0,2.0
8381a8fffffffff,3.0,0.0,0.0
8381aafffffffff,4.0,0.0,0.0
8381acfffffffff,2.0,0.0,0.0
8381adfffffffff,47.0,0.0,0.0
838a9cfffffffff,2.0,0.0,0.0
838ad1fffffffff,8.0,0.0,0.0
838ad8fffffffff,1.0,0.0,0.0
838adafffffffff,37.0,0.0,0.0
838adbfffffffff,96.0,4.0,0.0
838adcfffffffff,9.0,0.0,0.0
838b09fffffffff,6.0,0.0,0.0
838b0efffffffff,3.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b56fffffffff,3.0,0.0,0.0
838b74fffffffff,6.0,0.0,0.0
838b9dfffffffff,3.0,0.0,3.0
838ba6fffffffff,11.0,0.0,1.0
838bb5fffffffff,587.0,0.0,30.0
838f46fffffffff,104.0,2.0,0.0
83a596fffffffff,139.0,0.0,0.0
83a800fffffffff,5.0,0.0,2.0
83a801fffffffff,1.0,0.0,0.0
83a802fffffffff,24.0,0.0,0.0
83a803fffffffff,4.0,0.0,0.0
83a806fffffffff,182.0,0.0,10.0
83a808fffffffff,2.0,0.0,0.0
83a809fffffffff,12.0,0.0,0.0
83a80bfffffffff,10.0,0.0,0.0
83a80cfffffffff,7.0,0.0,0.0
83a80dfffffffff,3.0,0.0,0.0
83a80efffffffff,15.0,0.0,0.0
83a810fffffffff,959.0,0.0,18.0
83a811fffffffff,341.0,0.0,28.0
83a812fffffffff,1183.0,0.0,46.0
83a813fffffffff,552.0,0.0,54.0
83a815fffffffff,193.0,0.0,1.0
83a816fffffffff,3.0,0.0,0.0
83a818fffffffff,266.0,0.0,0.0
83a819fffffffff,89.0,0.0,0.0
83a81afffffffff,72.0,0.0,0.0
83a81bfffffffff,65.0,0.0,3.0
83a81cfffffffff,472.0,0.0,0.0
83a81dfffffffff,39.0,0.0,2.0
83a81efffffffff,2438.0,0.0,2.0
83a829fffffffff,30.0,0.0,1.0
83a831fffffffff,3.0,0.0,0.0
83a833fffffffff,5.0,0.0,0.0
83a840fffffffff,4.0,0.0,0.0
83a844fffffffff,8.0,0.0,0.0
83a846fffffffff,2.0,0.0,0.0
83a850fffffffff,6.0,0.0,0.0
83a852fffffffff,4.0,0.0,0.0
83a853fffffffff,4.0,0.0,0.0
83a855fffffffff,104.0,0.0,7.0
83a856fffffffff,3.0,0.0,0.0
83a859fffffffff,2.0,0.0,0.0
83a85afffffffff,3.0,0.0,0.0
83a85bfffffffff,15.0,0.0,1.0
83a862fffffffff,6.0,0.0,0.0
83a866fffffffff,2.0,0.0,0.0
83a870fffffffff,5.0,0.0,0.0
83a872fffffffff,9.0,0.0,0.0
83a873fffffffff,25.0,0.0,7.0
83a875fffffffff,14.0,0.0,0.0
83a876fffffffff,7.0,0.0,0.0
83a880fffffffff,258.0,0.0,1.0
83a881fffffffff,443.0,0.0,15.0
83a882fffffffff,78.0,0.0,5.0
83a883fffffffff,12.0,0.0,0.0
83a884fffffffff,250.0,0.0,10.0
83a885fffffffff,26.0,0.0,0.0
83a886fffffffff,94.0,0.0,0.0
83a888fffffffff,3.0,0.0,0.0
83a889fffffffff,12.0,0.0,0.0
83a88afffffffff,39.0,0.0,0.0
83a88bfffffffff,28.0,0.0,0.0
83a88cfffffffff,69.0,0.0,0.0
83a88dfffffffff,139.0,0.0,7.0
83a88efffffffff,378.0,0.0,22.0
83a891fffffffff,94.0,0.0,8.0
83a893fffffffff,4.0,0.0,0.0
83a895fffffffff,53.0,0.0,3.0
83a89afffffffff,2.0,0.0,0.0
83a89dfffffffff,1.0,0.0,0.0
83a89efffffffff,10.0,0.0,0.0
83a8a0fffffffff,69.0,0.0,0.0
83a8a1fffffffff,810.0,0.0,34.0
83a8a2fffffffff,770.0,0.0,37.0
83a8a3fffffffff,225.0,0.0,0.0
83a8a5fffffffff,11.0,0.0,0.0
83a8a8fffffffff,43.0,0.0,0.0
83a8a9fffffffff,448.0,0.0,31.0
83a8aafffffffff,95.0,0.0,0.0
83a8abfffffffff,6.0,0.0,0.0
83a8acfffffffff,290.0,0.0,3.0
83a8adfffffffff,116.0,0.0,2.0
83a8aefffffffff,323.0,0.0,0.0
83a8b1fffffffff,2.0,0.0,0.0
83a8c0fffffffff,128.0,0.0,4.0
83a8c1fffffffff,7.0,0.0,0.0
83a8c2fffffffff,297.0,0.0,89.0
83a8c3fffffffff,6.0,0.0,0.0
83a8c4fffffffff,20.0,0.0,3.0
83a8c5fffffffff,2.0,0.0,0.0
83a8c6fffffffff,31.0,0.0,0.0
83a8ccfffffffff,2.0,0.0,0.0
83a8cdfffffffff,2.0,0.0,0.0
83a8cefffffffff,1.0,0.0,1.0
83a8d0fffffffff,4.0,0.0,0.0
83a8d1fffffffff,475.0,0.0,9.0
83a8d3fffffffff,69.0,0.0,0.0
83a8d4fffffffff,46.0,0.0,0.0
83a8d5fffffffff,15.0,0.0,1.0
83a8d6fffffffff,4.0,0.0,0.0
83a8dafffffffff,6.0,0.0,5.0
83a8dbfffffffff,1.0,0.0,0.0
83a8ddfffffffff,3.0,0.0,0.0
83a8defffffffff,248.0,0.0,33.0
83a8e1fffffffff,3.0,0.0,0.0
83a8e4fffffffff,2.0,0.0,0.0
83a8e6fffffffff,6.0,0.0,1.0
83a8ecfffffffff,94.0,0.0,2.0
83a8f0fffffffff,6.0,0.0,0.0
83a8f1fffffffff,8.0,0.0,0.0
83a8f2fffffffff,2.0,0.0,0.0
83a8f4fffffffff,108.0,0.0,6.0
83a8f5fffffffff,20.0,0.0,0.0
83a8f6fffffffff,13.0,0.0,0.0
83a940fffffffff,7.0,0.0,0.0
83a942fffffffff,8.0,0.0,0.0
83a943fffffffff,116.0,0.0,0.0
83a944fffffffff,2.0,0.0,0.0
83a946fffffffff,3.0,0.0,0.0
83a95afffffffff,19.0,0.0,0.0
83a95bfffffffff,2.0,0.0,0.0
83a95cfffffffff,8.0,0.0,0.0
83a95efffffffff,8.0,0.0,0.0
83a971fffffffff,3.0,0.0,0.0
