cell_id,Toxostoma curvirostre,Toxostoma curvirostre [curvirostre Group],Toxostoma curvirostre [palmeri Group]
8348a3fffffffff,16.0,0.0,0.0
8348a6fffffffff,479.0,0.0,0.0
8348aafffffffff,4.0,0.0,0.0
8348abfffffffff,1428.0,61.0,0.0
8348acfffffffff,1.0,0.0,0.0
8348aefffffffff,5.0,0.0,0.0
8348b0fffffffff,1.0,0.0,0.0
8348b1fffffffff,3095.0,153.0,0.0
8348b2fffffffff,1569.0,53.0,0.0
8348b3fffffffff,19419.0,851.0,0.0
8348b4fffffffff,3.0,0.0,0.0
8348b5fffffffff,28.0,0.0,0.0
8348c0fffffffff,1463.0,59.0,0.0
8348c1fffffffff,258.0,0.0,0.0
8348c2fffffffff,193.0,10.0,0.0
8348c3fffffffff,881.0,26.0,0.0
8348c4fffffffff,45.0,0.0,0.0
8348c5fffffffff,13045.0,60.0,0.0
8348c6fffffffff,2512.0,91.0,0.0
8348cafffffffff,3.0,0.0,0.0
8348ccfffffffff,6.0,0.0,0.0
8348cdfffffffff,37.0,0.0,0.0
8348d0fffffffff,170.0,9.0,0.0
8348d1fffffffff,85.0,4.0,0.0
8348d2fffffffff,221.0,0.0,0.0
8348d3fffffffff,234.0,5.0,0.0
8348d4fffffffff,380.0,7.0,0.0
8348d5fffffffff,93.0,23.0,0.0
8348d6fffffffff,148.0,0.0,0.0
8348d8fffffffff,8532.0,429.0,0.0
8348dafffffffff,62.0,0.0,0.0
8348dbfffffffff,20.0,2.0,0.0
8348dcfffffffff,336.0,27.0,0.0
8348ddfffffffff,121.0,8.0,0.0
8348defffffffff,63.0,0.0,0.0
8348e0fffffffff,20.0,0.0,0.0
8348e1fffffffff,56.0,0.0,0.0
8348e2fffffffff,17.0,0.0,0.0
8348e3fffffffff,475.0,0.0,0.0
8348e4fffffffff,77.0,0.0,0.0
8348e5fffffffff,279.0,0.0,0.0
8348e6fffffffff,41.0,0.0,0.0
8348e8fffffffff,34320.0,0.0,5394.0
8348e9fffffffff,1517.0,0.0,214.0
8348eafffffffff,2857.0,0.0,96.0
8348ebfffffffff,15136.0,0.0,1964.0
8348ecfffffffff,5527.0,0.0,709.0
8348edfffffffff,926.0,0.0,78.0
8348eefffffffff,25338.0,0.0,1131.0
8348f0fffffffff,7.0,0.0,0.0
8348f2fffffffff,1583.0,34.0,0.0
8348f3fffffffff,185.0,2.0,0.0
8348f4fffffffff,8.0,0.0,0.0
8348f5fffffffff,23.0,0.0,0.0
8348f6fffffffff,173.0,26.0,0.0
834980fffffffff,541.0,0.0,0.0
834981fffffffff,73.0,0.0,0.0
834982fffffffff,538.0,44.0,0.0
834983fffffffff,667.0,19.0,0.0
834985fffffffff,99.0,0.0,0.0
834986fffffffff,408.0,46.0,0.0
834988fffffffff,268.0,0.0,0.0
834989fffffffff,8.0,0.0,0.0
83498afffffffff,3.0,0.0,0.0
83498bfffffffff,22.0,4.0,0.0
83498cfffffffff,200.0,0.0,0.0
83498dfffffffff,2.0,0.0,0.0
83498efffffffff,282.0,0.0,0.0
834990fffffffff,286.0,70.0,0.0
834991fffffffff,85.0,14.0,0.0
834994fffffffff,1262.0,23.0,0.0
834995fffffffff,7694.0,840.0,0.0
834996fffffffff,161.0,27.0,0.0
834998fffffffff,10.0,0.0,0.0
834999fffffffff,8.0,0.0,0.0
83499bfffffffff,34.0,0.0,0.0
83499cfffffffff,30.0,0.0,0.0
83499dfffffffff,52.0,0.0,0.0
8349a8fffffffff,90.0,0.0,0.0
8349a9fffffffff,14.0,0.0,0.0
8349aafffffffff,1170.0,0.0,3.0
8349abfffffffff,442.0,0.0,3.0
8349b0fffffffff,21.0,0.0,0.0
8349b1fffffffff,1.0,0.0,0.0
8349b2fffffffff,412.0,5.0,0.0
8349b3fffffffff,1145.0,140.0,0.0
836d30fffffffff,48.0,2.0,0.0
836d32fffffffff,2100.0,191.0,0.0
836d33fffffffff,209.0,10.0,0.0
836d36fffffffff,150.0,28.0,0.0
