cell_id,Picoides tridactylus,Picoides tridactylus [tridactylus Group],Picoides tridactylus funebris
841f913ffffffff,5.0,0.0,0.0
841f91bffffffff,1.0,0.0,0.0
841f9c1ffffffff,2.0,0.0,0.0
841f9c3ffffffff,3.0,0.0,0.0
841f9c5ffffffff,3.0,0.0,0.0
841f9cbffffffff,1.0,1.0,0.0
841f9d9ffffffff,1.0,0.0,0.0
841f9dbffffffff,1.0,0.0,0.0
8420e61ffffffff,2.0,0.0,0.0
8420e65ffffffff,25.0,0.0,0.0
8420e67ffffffff,3.0,0.0,0.0
8420ee1ffffffff,3.0,0.0,0.0
8420f19ffffffff,1.0,0.0,0.0
8424215ffffffff,1.0,0.0,0.0
8424251ffffffff,7.0,0.0,0.0
84242e1ffffffff,3.0,0.0,0.0
8424665ffffffff,1.0,0.0,0.0
8424667ffffffff,2.0,0.0,0.0
8425463ffffffff,1.0,0.0,0.0
8425465ffffffff,4.0,0.0,0.0
8425517ffffffff,2.0,0.0,0.0
8425531ffffffff,1.0,0.0,0.0
8425539ffffffff,2.0,0.0,0.0
8425597ffffffff,13.0,0.0,0.0
84255a3ffffffff,22.0,0.0,0.0
84255a7ffffffff,6.0,0.0,0.0
84255abffffffff,27.0,0.0,0.0
84255b3ffffffff,1.0,0.0,0.0
84255b5ffffffff,7.0,0.0,0.0
84255bdffffffff,1.0,0.0,0.0
8425717ffffffff,1.0,0.0,0.0
8425b07ffffffff,11.0,0.0,0.0
8425b15ffffffff,1.0,0.0,0.0
843c6a3ffffffff,16.0,0.0,3.0
8440437ffffffff,2.0,0.0,2.0
84405b9ffffffff,1.0,0.0,0.0
8440c19ffffffff,2.0,0.0,0.0
8440c27ffffffff,6.0,0.0,0.0
8440c29ffffffff,4.0,0.0,0.0
8440c67ffffffff,2.0,0.0,0.0
8440e11ffffffff,1.0,0.0,0.0
8440e13ffffffff,2.0,0.0,0.0
8440e33ffffffff,2.0,0.0,0.0
