cell_id,Pheugopedius felix,Pheugopedius felix [felix Group],Pheugopedius felix lawrencii
8449a99ffffffff,2.0,0.0,0.0
8449a9bffffffff,63.0,0.0,0.0
8449a9dffffffff,1.0,0.0,0.0
8449aa1ffffffff,16.0,0.0,0.0
8449aa3ffffffff,153.0,0.0,0.0
8449aa7ffffffff,3.0,0.0,0.0
8449aa9ffffffff,20.0,0.0,0.0
8449aabffffffff,10.0,0.0,0.0
8449ab1ffffffff,101.0,0.0,0.0
8449ab3ffffffff,7.0,0.0,0.0
8449ab5ffffffff,4.0,0.0,0.0
8449ab9ffffffff,7.0,0.0,0.0
8449abbffffffff,2.0,0.0,0.0
8449abdffffffff,3.0,0.0,0.0
8449ac7ffffffff,22.0,0.0,0.0
8449ad5ffffffff,30.0,0.0,0.0
8449ad7ffffffff,51.0,0.0,0.0
8449ae1ffffffff,1.0,0.0,0.0
8449ae3ffffffff,61.0,0.0,0.0
8449ae9ffffffff,1.0,0.0,0.0
8449b01ffffffff,2.0,0.0,0.0
8449b03ffffffff,7.0,0.0,0.0
8449b0bffffffff,17.0,0.0,0.0
8449b0dffffffff,2.0,0.0,0.0
8449b15ffffffff,5.0,0.0,0.0
8449b17ffffffff,1.0,0.0,0.0
8449b19ffffffff,73.0,0.0,0.0
8449b1dffffffff,13.0,0.0,0.0
8449b21ffffffff,11.0,2.0,0.0
8449b23ffffffff,1.0,0.0,0.0
8449b2bffffffff,4.0,0.0,0.0
8449b31ffffffff,59.0,0.0,0.0
8449b33ffffffff,722.0,0.0,0.0
8449b35ffffffff,35.0,0.0,0.0
8449b37ffffffff,119.0,0.0,0.0
8449b39ffffffff,2.0,0.0,0.0
8449b3bffffffff,71.0,0.0,0.0
8449b3dffffffff,6.0,0.0,0.0
8449b53ffffffff,42.0,0.0,0.0
8449b55ffffffff,15.0,0.0,0.0
8449b57ffffffff,95.0,0.0,0.0
8449b61ffffffff,2.0,0.0,0.0
8449b65ffffffff,3.0,0.0,0.0
8449b67ffffffff,11.0,1.0,0.0
8449b6bffffffff,4.0,0.0,0.0
846d06dffffffff,11.0,0.0,0.0
846d141ffffffff,16.0,1.0,0.0
846d143ffffffff,5.0,0.0,0.0
846d14bffffffff,4.0,0.0,0.0
846d159ffffffff,419.0,17.0,0.0
846d15dffffffff,51.0,0.0,0.0
846d305ffffffff,92.0,11.0,0.0
846d307ffffffff,4.0,0.0,0.0
846d315ffffffff,11.0,0.0,0.0
846d32bffffffff,110.0,6.0,0.0
846d333ffffffff,12.0,0.0,0.0
846d337ffffffff,768.0,83.0,0.0
846d339ffffffff,2.0,0.0,0.0
846d33dffffffff,3.0,0.0,0.0
846d361ffffffff,3.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0
846d365ffffffff,2.0,0.0,0.0
846d367ffffffff,16.0,0.0,0.0
