cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
836d25fffffffff,38.0,0.0,0.0
836d28fffffffff,24.0,0.0,0.0
836d29fffffffff,110.0,0.0,0.0
836d2afffffffff,60.0,0.0,0.0
836d2bfffffffff,598.0,0.0,0.0
836d2cfffffffff,184.0,0.0,0.0
836d2dfffffffff,101.0,0.0,0.0
836d2efffffffff,21.0,0.0,0.0
836d30fffffffff,83.0,0.0,0.0
836d31fffffffff,218.0,0.0,0.0
836d32fffffffff,1.0,0.0,0.0
836d33fffffffff,232.0,0.0,0.0
836d34fffffffff,44.0,0.0,0.0
836d35fffffffff,23.0,0.0,0.0
836d36fffffffff,7.0,0.0,0.0
836d60fffffffff,145.0,0.0,0.0
836d61fffffffff,379.0,0.0,0.0
836d63fffffffff,11.0,0.0,0.0
836d64fffffffff,67.0,0.0,0.0
836d65fffffffff,88.0,0.0,0.0
836d66fffffffff,110.0,0.0,0.0
836d68fffffffff,1125.0,0.0,0.0
836d69fffffffff,6727.0,0.0,0.0
836d6afffffffff,21.0,0.0,0.0
836d6bfffffffff,842.0,0.0,0.0
836d6cfffffffff,13.0,0.0,0.0
836d6dfffffffff,31.0,0.0,0.0
836d6efffffffff,215.0,0.0,0.0
836d74fffffffff,534.0,0.0,0.0
836d75fffffffff,112.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0
838a69fffffffff,7.0,0.0,0.0
838a6dfffffffff,22.0,0.0,0.0
838b44fffffffff,53.0,0.0,0.0
838b61fffffffff,76.0,0.0,0.0
838b63fffffffff,35.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0
838b6cfffffffff,2.0,0.0,0.0
838b6efffffffff,11.0,0.0,0.0
838b71fffffffff,13.0,0.0,0.0
838b74fffffffff,19.0,0.0,0.0
838b75fffffffff,5.0,0.0,0.0
838e64fffffffff,25.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0
838f40fffffffff,28.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f46fffffffff,37.0,0.0,0.0
838f4afffffffff,4.0,0.0,0.0
838f61fffffffff,2.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0
838f74fffffffff,11.0,0.0,0.0
83b324fffffffff,4.0,0.0,0.0
