cell_id,Melithreptus gularis,Melithreptus gularis laetior,Melithreptus gularis gularis
84be539ffffffff,4.0,0.0,0.0
84be545ffffffff,1.0,0.0,0.0
84be557ffffffff,2.0,0.0,0.0
84be561ffffffff,15.0,0.0,6.0
84be565ffffffff,1.0,0.0,0.0
84be569ffffffff,10.0,0.0,0.0
84be631ffffffff,68.0,0.0,8.0
84be633ffffffff,32.0,0.0,0.0
84be6a1ffffffff,18.0,0.0,0.0
84be6a5ffffffff,18.0,0.0,4.0
84be6a7ffffffff,11.0,0.0,0.0
84be6adffffffff,12.0,0.0,0.0
84be713ffffffff,50.0,0.0,10.0
84be717ffffffff,318.0,0.0,55.0
84be735ffffffff,2.0,0.0,0.0
84be73bffffffff,7.0,0.0,2.0
84be891ffffffff,2.0,0.0,0.0
84be895ffffffff,1.0,0.0,0.0
84be899ffffffff,2.0,0.0,0.0
84be89dffffffff,5.0,0.0,0.0
84be8b1ffffffff,2.0,0.0,0.0
84be8b3ffffffff,2.0,0.0,0.0
84be8b7ffffffff,14.0,0.0,0.0
84be8b9ffffffff,1.0,0.0,0.0
84be8bbffffffff,2.0,0.0,0.0
84be8d1ffffffff,67.0,0.0,0.0
84be8d3ffffffff,2.0,0.0,0.0
84be8d7ffffffff,3.0,0.0,0.0
84be8d9ffffffff,4.0,0.0,0.0
84be8dbffffffff,46.0,0.0,0.0
84bea91ffffffff,2.0,0.0,0.0
84bea93ffffffff,6.0,0.0,0.0
84bea9bffffffff,2.0,0.0,0.0
84bec0dffffffff,1.0,0.0,0.0
84bec61ffffffff,2.0,0.0,0.0
84becc3ffffffff,2.0,0.0,0.0
84becebffffffff,2.0,0.0,0.0
84bed27ffffffff,2.0,0.0,0.0
84bed45ffffffff,4.0,0.0,0.0
84bed67ffffffff,1.0,0.0,0.0
84bede5ffffffff,2.0,0.0,0.0
84bee01ffffffff,3.0,0.0,0.0
84bee05ffffffff,1.0,0.0,0.0
84bee09ffffffff,2.0,0.0,0.0
84bee0dffffffff,2.0,0.0,0.0
84bee17ffffffff,2.0,0.0,0.0
84bee29ffffffff,1.0,0.0,0.0
84bee41ffffffff,1.0,0.0,0.0
84bee49ffffffff,7.0,0.0,0.0
84bee4bffffffff,1.0,0.0,0.0
84bee51ffffffff,2.0,0.0,0.0
84bee65ffffffff,2.0,0.0,1.0
84bee6dffffffff,13.0,0.0,0.0
84bef01ffffffff,2.0,0.0,0.0
84bef05ffffffff,137.0,0.0,0.0
84bef0dffffffff,10.0,0.0,0.0
84bef15ffffffff,2.0,0.0,0.0
84bef1bffffffff,4.0,0.0,0.0
84bef29ffffffff,1.0,0.0,0.0
84bef2dffffffff,45.0,0.0,0.0
84bef43ffffffff,9.0,0.0,0.0
84bef51ffffffff,1.0,0.0,0.0
84bef55ffffffff,7.0,0.0,0.0
84bef59ffffffff,3.0,0.0,0.0
84bef5bffffffff,2.0,0.0,0.0
84bef5dffffffff,6.0,0.0,0.0
84bef63ffffffff,8.0,0.0,0.0
84bef65ffffffff,56.0,0.0,0.0
84bef6bffffffff,1.0,0.0,0.0
