cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
8366a0fffffffff,3777.0,0.0,196.0,0.0
8366a1fffffffff,805.0,0.0,131.0,0.0
8366a2fffffffff,167.0,0.0,2.0,0.0
8366a3fffffffff,211.0,0.0,29.0,0.0
8366a5fffffffff,10364.0,0.0,709.0,0.0
8366a6fffffffff,153.0,0.0,7.0,0.0
8366aefffffffff,34.0,0.0,3.0,0.0
8366b0fffffffff,3114.0,0.0,0.0,0.0
8366b1fffffffff,122.0,0.0,2.0,0.0
8366b4fffffffff,12730.0,0.0,0.0,0.0
8366b5fffffffff,7288.0,0.0,90.0,0.0
8366b6fffffffff,543.0,0.0,0.0,0.0
8366c0fffffffff,253.0,0.0,0.0,0.0
8366c1fffffffff,24.0,0.0,0.0,0.0
8366c2fffffffff,1449.0,0.0,5.0,0.0
8366c3fffffffff,31.0,0.0,0.0,0.0
8366c4fffffffff,145.0,0.0,0.0,0.0
8366c5fffffffff,75.0,0.0,0.0,0.0
8366c6fffffffff,83.0,0.0,0.0,0.0
8366c9fffffffff,14.0,0.0,0.0,0.0
8366cdfffffffff,5.0,0.0,0.0,0.0
8366cefffffffff,146.0,0.0,0.0,0.0
8366d0fffffffff,254.0,0.0,0.0,2.0
8366d1fffffffff,46.0,0.0,5.0,0.0
8366d2fffffffff,235.0,0.0,0.0,8.0
8366d3fffffffff,2579.0,0.0,0.0,175.0
8366d4fffffffff,2.0,0.0,0.0,0.0
8366d5fffffffff,4.0,0.0,0.0,0.0
8366d8fffffffff,101.0,0.0,9.0,0.0
8366dafffffffff,399.0,0.0,67.0,0.0
8366dbfffffffff,73.0,0.0,6.0,0.0
8366dcfffffffff,2027.0,0.0,252.0,0.0
8366ddfffffffff,130.0,0.0,13.0,0.0
8366defffffffff,2493.0,0.0,330.0,0.0
8366e0fffffffff,727.0,0.0,5.0,0.0
8366e1fffffffff,601.0,0.0,0.0,0.0
8366e2fffffffff,84.0,0.0,0.0,0.0
8366e3fffffffff,144.0,0.0,12.0,0.0
8366e4fffffffff,849.0,0.0,0.0,0.0
8366e5fffffffff,2060.0,0.0,21.0,0.0
8366e6fffffffff,643.0,0.0,1.0,0.0
8366e8fffffffff,3.0,0.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0,0.0
8366eafffffffff,1.0,0.0,0.0,0.0
8366ecfffffffff,467.0,0.0,0.0,0.0
8366eefffffffff,90.0,0.0,0.0,0.0
8366f0fffffffff,51.0,0.0,0.0,0.0
8366f3fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,1424.0,0.0,33.0,0.0
836742fffffffff,346.0,0.0,1.0,0.0
836743fffffffff,888.0,0.0,27.0,0.0
836748fffffffff,5.0,0.0,0.0,0.0
83674afffffffff,193.0,0.0,12.0,0.0
83674cfffffffff,1717.0,0.0,35.0,0.0
83674dfffffffff,9.0,0.0,0.0,0.0
83674efffffffff,859.0,0.0,28.0,0.0
836750fffffffff,3.0,0.0,0.0,0.0
836751fffffffff,233.0,0.0,0.0,0.0
836752fffffffff,174.0,0.0,0.0,0.0
836753fffffffff,416.0,0.0,0.0,0.0
836755fffffffff,1270.0,0.0,0.0,0.0
836758fffffffff,21.0,0.0,0.0,0.0
836759fffffffff,59.0,0.0,6.0,0.0
83675afffffffff,156.0,0.0,2.0,0.0
83675bfffffffff,15.0,0.0,0.0,0.0
83675cfffffffff,636.0,0.0,5.0,0.0
83675dfffffffff,26.0,0.0,0.0,0.0
83675efffffffff,116.0,0.0,1.0,0.0
83676bfffffffff,27.0,0.0,0.0,0.0
83678bfffffffff,23.0,0.0,4.0,0.0
836790fffffffff,119.0,0.0,0.0,0.0
836791fffffffff,16.0,0.0,0.0,0.0
836792fffffffff,82.0,0.0,0.0,0.0
836793fffffffff,71.0,0.0,0.0,0.0
836794fffffffff,94.0,0.0,0.0,0.0
836795fffffffff,4.0,0.0,0.0,0.0
836796fffffffff,378.0,0.0,0.0,0.0
83679afffffffff,8153.0,0.0,0.0,0.0
83679bfffffffff,2454.0,0.0,41.0,0.0
8367b2fffffffff,17.0,0.0,0.0,0.0
836d04fffffffff,578.0,112.0,0.0,0.0
836d05fffffffff,876.0,230.0,0.0,0.0
836d06fffffffff,38.0,0.0,0.0,0.0
836d14fffffffff,152.0,6.0,0.0,0.0
836d15fffffffff,603.0,68.0,0.0,0.0
836d20fffffffff,378.0,0.0,0.0,0.0
836d21fffffffff,668.0,118.0,0.0,0.0
836d22fffffffff,81.0,5.0,0.0,0.0
836d23fffffffff,1471.0,190.0,0.0,0.0
836d24fffffffff,75.0,0.0,0.0,0.0
836d25fffffffff,689.0,51.0,0.0,0.0
836d26fffffffff,28.0,0.0,0.0,0.0
836d28fffffffff,1736.0,119.0,0.0,0.0
836d29fffffffff,2613.0,288.0,0.0,0.0
836d2afffffffff,669.0,113.0,0.0,0.0
836d2bfffffffff,3609.0,238.0,0.0,0.0
836d2cfffffffff,1424.0,313.0,0.0,0.0
836d2dfffffffff,4414.0,2000.0,0.0,0.0
836d2efffffffff,303.0,74.0,0.0,0.0
836d30fffffffff,1113.0,89.0,0.0,0.0
836d31fffffffff,1399.0,181.0,0.0,0.0
836d32fffffffff,1946.0,120.0,0.0,0.0
836d33fffffffff,489.0,56.0,0.0,0.0
836d34fffffffff,2912.0,169.0,0.0,0.0
836d35fffffffff,2854.0,43.0,0.0,0.0
836d36fffffffff,323.0,20.0,0.0,0.0
836d60fffffffff,1590.0,0.0,0.0,0.0
836d61fffffffff,2355.0,0.0,0.0,0.0
836d62fffffffff,1.0,0.0,0.0,0.0
836d63fffffffff,429.0,0.0,0.0,0.0
836d64fffffffff,3018.0,0.0,0.0,0.0
836d65fffffffff,2193.0,0.0,0.0,0.0
836d66fffffffff,1403.0,0.0,0.0,0.0
836d68fffffffff,5487.0,0.0,0.0,0.0
836d69fffffffff,31423.0,0.0,0.0,0.0
836d6afffffffff,51.0,0.0,0.0,0.0
836d6bfffffffff,3276.0,0.0,0.0,0.0
836d6cfffffffff,143.0,0.0,0.0,0.0
836d6dfffffffff,5298.0,0.0,0.0,0.0
836d6efffffffff,826.0,0.0,0.0,0.0
836d74fffffffff,2747.0,5.0,0.0,0.0
836d75fffffffff,803.0,0.0,0.0,0.0
836d76fffffffff,308.0,25.0,0.0,0.0
838000fffffffff,8.0,0.0,0.0,0.0
838002fffffffff,25.0,0.0,0.0,0.0
838005fffffffff,8.0,0.0,1.0,0.0
838009fffffffff,2.0,0.0,0.0,0.0
838010fffffffff,662.0,0.0,21.0,0.0
838011fffffffff,78.0,0.0,1.0,0.0
838012fffffffff,2.0,0.0,0.0,0.0
838013fffffffff,2.0,0.0,0.0,0.0
838014fffffffff,109.0,0.0,5.0,0.0
838015fffffffff,2.0,0.0,0.0,0.0
838016fffffffff,27.0,0.0,0.0,0.0
83801cfffffffff,2.0,0.0,0.0,0.0
838022fffffffff,1.0,0.0,0.0,0.0
83802bfffffffff,5.0,0.0,2.0,0.0
838030fffffffff,142.0,0.0,7.0,0.0
838032fffffffff,13.0,0.0,4.0,0.0
838034fffffffff,4.0,0.0,0.0,0.0
838035fffffffff,2.0,0.0,0.0,0.0
838036fffffffff,104.0,0.0,9.0,0.0
838044fffffffff,2.0,0.0,0.0,0.0
838046fffffffff,11.0,0.0,0.0,0.0
838065fffffffff,7.0,0.0,0.0,0.0
83806afffffffff,18.0,0.0,0.0,0.0
83806dfffffffff,4.0,0.0,0.0,0.0
838074fffffffff,8.0,0.0,0.0,0.0
838075fffffffff,1.0,0.0,1.0,0.0
8380a4fffffffff,2.0,0.0,1.0,0.0
838100fffffffff,9.0,0.0,0.0,0.0
838102fffffffff,145.0,0.0,0.0,0.0
838104fffffffff,6.0,0.0,0.0,0.0
838105fffffffff,4.0,0.0,0.0,0.0
838106fffffffff,35.0,0.0,3.0,0.0
838109fffffffff,5.0,0.0,0.0,0.0
838110fffffffff,12.0,0.0,2.0,0.0
838112fffffffff,6.0,0.0,0.0,0.0
838113fffffffff,1.0,0.0,0.0,0.0
838114fffffffff,23.0,0.0,4.0,0.0
838115fffffffff,1.0,0.0,0.0,0.0
838116fffffffff,53.0,0.0,0.0,0.0
838119fffffffff,5.0,0.0,0.0,0.0
83811afffffffff,20.0,0.0,1.0,0.0
