cell_id,Iole propinqua,Iole propinqua [propinqua Group],Iole propinqua innectens
8464905ffffffff,2.0,0.0,0.0
8464909ffffffff,16.0,16.0,0.0
846490dffffffff,9.0,0.0,0.0
8464911ffffffff,201.0,61.0,0.0
846491bffffffff,7.0,7.0,0.0
8464943ffffffff,9.0,7.0,0.0
8464949ffffffff,15.0,9.0,0.0
846494bffffffff,76.0,44.0,0.0
8464951ffffffff,6.0,6.0,0.0
8464953ffffffff,3.0,3.0,0.0
8464955ffffffff,22.0,19.0,0.0
8464957ffffffff,2.0,2.0,0.0
8464959ffffffff,23.0,23.0,0.0
846495dffffffff,10.0,4.0,0.0
8464967ffffffff,1.0,0.0,0.0
84649c9ffffffff,1.0,1.0,0.0
84649cdffffffff,15.0,14.0,0.0
8464a61ffffffff,1.0,1.0,0.0
8464b01ffffffff,4.0,0.0,0.0
8464b03ffffffff,75.0,33.0,0.0
8464b0bffffffff,12.0,2.0,0.0
8464b25ffffffff,2.0,0.0,0.0
8464b29ffffffff,6.0,0.0,0.0
8464b31ffffffff,2.0,0.0,0.0
8464b37ffffffff,12.0,1.0,0.0
8464b39ffffffff,2.0,0.0,0.0
8464b41ffffffff,1.0,1.0,0.0
8464b43ffffffff,9.0,0.0,0.0
8464b51ffffffff,4.0,4.0,0.0
8464b53ffffffff,5.0,5.0,0.0
8464b55ffffffff,103.0,30.0,0.0
8464b57ffffffff,9.0,0.0,0.0
8464b59ffffffff,2.0,0.0,0.0
8464b5dffffffff,51.0,16.0,0.0
8465801ffffffff,14.0,0.0,0.0
8465803ffffffff,24.0,0.0,0.0
846580bffffffff,11.0,0.0,0.0
8465811ffffffff,2.0,0.0,0.0
8465817ffffffff,15.0,0.0,0.0
8465819ffffffff,6.0,0.0,0.0
8465825ffffffff,2.0,0.0,0.0
8465827ffffffff,2.0,0.0,0.0
846583bffffffff,2.0,0.0,0.0
8465851ffffffff,52.0,0.0,0.0
8465855ffffffff,8.0,0.0,0.0
8465857ffffffff,3.0,0.0,0.0
846585dffffffff,7.0,0.0,0.0
8465867ffffffff,3.0,0.0,0.0
84658a1ffffffff,3.0,3.0,0.0
84658a3ffffffff,21.0,0.0,0.0
84658a9ffffffff,4.0,0.0,0.0
84658adffffffff,7.0,0.0,0.0
84658e1ffffffff,4.0,0.0,0.0
84658e7ffffffff,29.0,23.0,0.0
8465911ffffffff,21.0,0.0,0.0
8465915ffffffff,21.0,0.0,0.0
846591bffffffff,18.0,0.0,0.0
846591dffffffff,40.0,0.0,0.0
8465949ffffffff,2.0,0.0,0.0
8465959ffffffff,2.0,0.0,0.0
846595bffffffff,1.0,0.0,0.0
8465961ffffffff,18.0,0.0,0.0
846598bffffffff,2.0,0.0,0.0
8465991ffffffff,24.0,14.0,0.0
8465993ffffffff,1372.0,467.0,0.0
8465995ffffffff,2.0,0.0,0.0
8465999ffffffff,2.0,0.0,0.0
846599bffffffff,9.0,2.0,0.0
84659c1ffffffff,34.0,0.0,0.0
84659c9ffffffff,16.0,0.0,0.0
84659d7ffffffff,2.0,0.0,0.0
84659dbffffffff,9.0,4.0,0.0
84659e9ffffffff,11.0,0.0,0.0
8465a37ffffffff,1.0,0.0,0.0
8465b01ffffffff,202.0,0.0,38.0
8465b09ffffffff,23.0,0.0,4.0
8465b0bffffffff,1.0,0.0,0.0
8465b0dffffffff,3.0,2.0,0.0
8465b23ffffffff,11.0,0.0,0.0
8465b2bffffffff,82.0,0.0,0.0
8465b31ffffffff,4.0,0.0,0.0
8465b39ffffffff,48.0,0.0,0.0
8465b3dffffffff,205.0,0.0,0.0
8465b61ffffffff,26.0,1.0,0.0
8465b65ffffffff,4.0,0.0,0.0
8465b67ffffffff,2.0,0.0,0.0
8465b6bffffffff,82.0,19.0,0.0
846914dffffffff,6.0,0.0,0.0
