cell_id,Emberiza cioides,Emberiza cioides [cioides Group],Emberiza cioides ciopsis
83408bfffffffff,1.0,0.0,0.0
83408dfffffffff,2.0,0.0,0.0
83408efffffffff,1.0,0.0,0.0
834095fffffffff,4.0,0.0,0.0
834096fffffffff,2.0,0.0,0.0
83409cfffffffff,1.0,0.0,0.0
8340a0fffffffff,8.0,0.0,0.0
8340a4fffffffff,3.0,0.0,0.0
8340a6fffffffff,1.0,0.0,0.0
8340b5fffffffff,17.0,0.0,0.0
8340c4fffffffff,1.0,0.0,0.0
834191fffffffff,2.0,0.0,0.0
834192fffffffff,81.0,0.0,0.0
8341a0fffffffff,1.0,0.0,0.0
834b26fffffffff,1.0,0.0,0.0
834b32fffffffff,5.0,0.0,0.0
834b35fffffffff,8.0,0.0,0.0
834b36fffffffff,3.0,0.0,0.0
834b60fffffffff,5.0,0.0,0.0
834b61fffffffff,3.0,0.0,0.0
834b62fffffffff,40.0,0.0,0.0
834b64fffffffff,23.0,0.0,0.0
834b65fffffffff,20.0,0.0,0.0
834b66fffffffff,61.0,0.0,0.0
834b6dfffffffff,13.0,0.0,0.0
834b73fffffffff,2.0,0.0,0.0
834b75fffffffff,243.0,0.0,0.0
