cell_id,Cinnyris venustus,Cinnyris venustus [venustus Group],Cinnyris venustus igneiventris,Cinnyris venustus albiventris
846ad85ffffffff,4.0,0.0,0.0,0.0
846ad89ffffffff,55.0,3.0,6.0,0.0
846ad8bffffffff,17.0,3.0,2.0,0.0
846ad8dffffffff,24.0,1.0,2.0,0.0
846ad9dffffffff,4.0,0.0,0.0,0.0
846ada9ffffffff,28.0,4.0,6.0,0.0
846adc1ffffffff,443.0,0.0,59.0,0.0
846adc3ffffffff,7.0,0.0,0.0,0.0
846adc5ffffffff,13.0,2.0,9.0,0.0
846adc7ffffffff,161.0,12.0,21.0,0.0
846adc9ffffffff,25.0,0.0,4.0,0.0
846adcbffffffff,6.0,0.0,0.0,0.0
846add5ffffffff,4.0,0.0,2.0,0.0
846add7ffffffff,5.0,0.0,1.0,0.0
846add9ffffffff,14.0,0.0,0.0,0.0
846ade3ffffffff,3.0,0.0,0.0,0.0
846ade7ffffffff,182.0,8.0,29.0,0.0
846adebffffffff,26.0,7.0,0.0,0.0
846ae85ffffffff,2.0,0.0,0.0,0.0
846aea1ffffffff,87.0,0.0,5.0,0.0
846aea3ffffffff,9.0,0.0,2.0,0.0
846aeabffffffff,2.0,0.0,0.0,0.0
846aeb5ffffffff,2.0,0.0,0.0,0.0
846aeb7ffffffff,2.0,1.0,0.0,0.0
846aee3ffffffff,3.0,0.0,0.0,0.0
84750d1ffffffff,4.0,2.0,0.0,0.0
84750d3ffffffff,1.0,0.0,0.0,0.0
8475201ffffffff,6.0,1.0,0.0,0.0
8475207ffffffff,5.0,2.0,0.0,0.0
8475293ffffffff,3.0,0.0,0.0,0.0
847529bffffffff,7.0,0.0,0.0,0.0
84752a1ffffffff,4.0,0.0,0.0,0.0
84752a3ffffffff,7.0,0.0,0.0,0.0
84752abffffffff,1.0,0.0,0.0,0.0
84752dbffffffff,10.0,0.0,0.0,0.0
84752e5ffffffff,2.0,0.0,0.0,0.0
8475313ffffffff,2.0,2.0,0.0,0.0
8475761ffffffff,1.0,0.0,0.0,0.0
8475861ffffffff,1.0,0.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0,0.0
8475a65ffffffff,2.0,0.0,0.0,0.0
847a401ffffffff,9.0,0.0,0.0,0.0
847a403ffffffff,4.0,4.0,0.0,0.0
847a405ffffffff,1.0,0.0,0.0,0.0
847a407ffffffff,16.0,1.0,0.0,0.0
847a409ffffffff,4.0,2.0,0.0,0.0
847a40bffffffff,19.0,4.0,0.0,0.0
847a40dffffffff,6.0,0.0,0.0,0.0
847a413ffffffff,22.0,7.0,0.0,0.0
847a415ffffffff,1.0,0.0,0.0,0.0
847a41bffffffff,10.0,0.0,0.0,0.0
847a41dffffffff,18.0,2.0,0.0,0.0
847a44bffffffff,4.0,0.0,0.0,0.0
847a451ffffffff,25.0,0.0,0.0,0.0
847a453ffffffff,56.0,22.0,0.0,0.0
847a455ffffffff,13.0,0.0,0.0,0.0
847a457ffffffff,113.0,9.0,0.0,0.0
847a459ffffffff,123.0,23.0,0.0,0.0
847a45bffffffff,21.0,3.0,0.0,0.0
847a45dffffffff,7.0,3.0,0.0,0.0
847a46dffffffff,10.0,0.0,0.0,4.0
847a489ffffffff,27.0,1.0,0.0,0.0
847a48bffffffff,13.0,0.0,0.0,0.0
847a48dffffffff,13.0,0.0,0.0,0.0
847a4b5ffffffff,2.0,0.0,0.0,0.0
847a4bdffffffff,1.0,0.0,0.0,0.0
847a4c1ffffffff,21.0,5.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0,0.0
847a4c5ffffffff,10.0,0.0,0.0,0.0
847a4c7ffffffff,9.0,2.0,0.0,0.0
847a4c9ffffffff,14.0,0.0,0.0,0.0
847a4cbffffffff,55.0,7.0,0.0,0.0
847a4cdffffffff,14.0,8.0,0.0,0.0
847a4d1ffffffff,99.0,9.0,0.0,0.0
847a4d5ffffffff,8.0,3.0,0.0,0.0
847a4d9ffffffff,13.0,1.0,0.0,0.0
847a4dbffffffff,3.0,3.0,0.0,0.0
847a4ddffffffff,51.0,14.0,0.0,0.0
847a4e9ffffffff,1.0,0.0,0.0,0.0
847a5a5ffffffff,15.0,0.0,0.0,5.0
847a5c1ffffffff,2.0,0.0,0.0,2.0
847a5d5ffffffff,2.0,0.0,0.0,2.0
847a601ffffffff,8.0,0.0,0.0,0.0
847a603ffffffff,2.0,0.0,0.0,0.0
847a609ffffffff,109.0,0.0,0.0,0.0
847a60bffffffff,11.0,0.0,0.0,0.0
847a611ffffffff,8.0,1.0,0.0,0.0
847a613ffffffff,5.0,2.0,0.0,0.0
847a615ffffffff,6.0,1.0,0.0,0.0
847a617ffffffff,2.0,0.0,0.0,0.0
847a619ffffffff,28.0,0.0,0.0,0.0
847a61bffffffff,8.0,0.0,0.0,0.0
847a61dffffffff,34.0,6.0,0.0,0.0
847a633ffffffff,2.0,0.0,0.0,0.0
847a637ffffffff,10.0,3.0,0.0,0.0
847a641ffffffff,6.0,0.0,0.0,0.0
847a643ffffffff,25.0,3.0,0.0,0.0
847a651ffffffff,8.0,0.0,0.0,0.0
847a653ffffffff,134.0,20.0,0.0,0.0
847a657ffffffff,266.0,21.0,0.0,0.0
847a659ffffffff,39.0,0.0,0.0,0.0
847a65bffffffff,4.0,0.0,0.0,0.0
847a681ffffffff,62.0,4.0,0.0,0.0
847a683ffffffff,66.0,11.0,0.0,0.0
847a685ffffffff,8.0,0.0,0.0,0.0
847a687ffffffff,5.0,1.0,0.0,0.0
847a689ffffffff,4.0,0.0,0.0,0.0
847a68bffffffff,5.0,0.0,0.0,0.0
847a6a1ffffffff,101.0,26.0,0.0,0.0
847a6a3ffffffff,4.0,0.0,0.0,0.0
847a6a5ffffffff,33.0,4.0,0.0,0.0
847a6a7ffffffff,3.0,0.0,0.0,0.0
847a6a9ffffffff,4.0,1.0,0.0,0.0
847a6adffffffff,200.0,30.0,0.0,0.0
847a6b3ffffffff,1.0,0.0,0.0,0.0
847a6b5ffffffff,10.0,1.0,0.0,0.0
847a6b7ffffffff,4.0,2.0,0.0,0.0
847a6b9ffffffff,1.0,0.0,0.0,0.0
847a6c1ffffffff,4.0,0.0,0.0,0.0
847a6c3ffffffff,4.0,0.0,0.0,0.0
847a6c9ffffffff,4.0,0.0,0.0,0.0
847a6cdffffffff,1.0,0.0,0.0,0.0
847a6d1ffffffff,28.0,2.0,0.0,0.0
847a6d3ffffffff,1.0,0.0,0.0,0.0
847a6d9ffffffff,16.0,7.0,0.0,0.0
847a6dbffffffff,4.0,0.0,0.0,0.0
847a6ddffffffff,1.0,0.0,0.0,0.0
847a6e1ffffffff,63.0,26.0,0.0,0.0
847a6e5ffffffff,1236.0,292.0,0.0,0.0
847a6e7ffffffff,94.0,6.0,0.0,0.0
847a6e9ffffffff,8.0,5.0,0.0,0.0
847a6ebffffffff,4.0,0.0,0.0,0.0
847a6edffffffff,24.0,8.0,0.0,0.0
847a715ffffffff,2.0,0.0,0.0,2.0
847a73bffffffff,4.0,0.0,0.0,0.0
847a751ffffffff,1.0,0.0,0.0,0.0
847ac81ffffffff,74.0,8.0,0.0,0.0
847ac87ffffffff,27.0,2.0,0.0,0.0
847ac8bffffffff,10.0,0.0,0.0,0.0
847ac93ffffffff,3.0,0.0,0.0,0.0
847ac97ffffffff,13.0,5.0,0.0,0.0
847aca1ffffffff,6.0,0.0,0.0,0.0
847aca3ffffffff,128.0,51.0,0.0,5.0
847aca5ffffffff,3.0,0.0,0.0,0.0
847acabffffffff,10.0,2.0,0.0,0.0
847acb1ffffffff,2.0,0.0,0.0,0.0
847acb5ffffffff,23.0,8.0,0.0,0.0
847acc5ffffffff,26.0,3.0,0.0,0.0
847accbffffffff,8.0,0.0,0.0,0.0
847accdffffffff,52.0,12.0,0.0,0.0
847acd1ffffffff,3.0,0.0,0.0,0.0
847acd3ffffffff,7.0,0.0,0.0,0.0
847acd5ffffffff,124.0,22.0,0.0,1.0
847acd7ffffffff,8.0,0.0,0.0,0.0
847acd9ffffffff,3.0,0.0,0.0,0.0
847ace1ffffffff,3.0,0.0,0.0,0.0
847ad91ffffffff,2.0,0.0,0.0,0.0
847ad93ffffffff,5.0,2.0,0.0,0.0
847ad99ffffffff,25.0,1.0,0.0,1.0
847ada9ffffffff,2.0,0.0,0.0,0.0
847ae85ffffffff,15.0,0.0,0.0,4.0
847ae87ffffffff,2.0,0.0,0.0,0.0
847ae8bffffffff,3.0,0.0,0.0,1.0
847ae91ffffffff,8.0,0.0,0.0,0.0
847ae99ffffffff,23.0,0.0,0.0,12.0
847ae9bffffffff,15.0,0.0,0.0,8.0
847ae9dffffffff,7.0,0.0,0.0,0.0
847aea3ffffffff,2.0,2.0,0.0,0.0
847aeabffffffff,2.0,2.0,0.0,0.0
847aeb3ffffffff,2.0,0.0,0.0,0.0
847aebdffffffff,5.0,3.0,0.0,0.0
847aed3ffffffff,7.0,0.0,0.0,7.0
847aee3ffffffff,3.0,0.0,0.0,0.0
847b485ffffffff,2.0,0.0,0.0,0.0
847b487ffffffff,1.0,1.0,0.0,0.0
847b4a7ffffffff,7.0,0.0,0.0,0.0
847b4b1ffffffff,15.0,7.0,0.0,0.0
847b4b3ffffffff,2.0,2.0,0.0,0.0
847b4b7ffffffff,6.0,1.0,0.0,0.0
847b4b9ffffffff,18.0,2.0,0.0,0.0
847b4c1ffffffff,2.0,0.0,0.0,0.0
847b4cbffffffff,5.0,0.0,0.0,0.0
847b4d5ffffffff,2.0,0.0,0.0,0.0
847b4dbffffffff,67.0,7.0,0.0,0.0
847b597ffffffff,9.0,0.0,0.0,0.0
847b59bffffffff,2.0,0.0,0.0,0.0
847b6bbffffffff,3.0,0.0,0.0,0.0
8483125ffffffff,5.0,1.0,0.0,0.0
8483151ffffffff,2.0,0.0,0.0,0.0
8483263ffffffff,13.0,5.0,0.0,0.0
8483305ffffffff,3.0,0.0,0.0,0.0
848332bffffffff,5.0,5.0,0.0,0.0
8483331ffffffff,1.0,1.0,0.0,0.0
8483337ffffffff,3.0,3.0,0.0,0.0
848333dffffffff,15.0,2.0,0.0,0.0
8483ac1ffffffff,3.0,0.0,0.0,0.0
8483ac3ffffffff,2.0,2.0,0.0,0.0
8483acdffffffff,3.0,0.0,0.0,0.0
8496003ffffffff,1.0,0.0,0.0,0.0
8496009ffffffff,13.0,0.0,0.0,0.0
849600bffffffff,2.0,2.0,0.0,0.0
8496015ffffffff,9.0,2.0,0.0,0.0
8496025ffffffff,4.0,0.0,0.0,0.0
849602dffffffff,2.0,0.0,0.0,0.0
849603bffffffff,5.0,0.0,0.0,0.0
8496047ffffffff,7.0,3.0,0.0,0.0
8496097ffffffff,13.0,5.0,0.0,0.0
849609dffffffff,2.0,0.0,0.0,0.0
84960b1ffffffff,2.0,0.0,0.0,0.0
84960b5ffffffff,2.0,0.0,0.0,0.0
84960bbffffffff,1.0,0.0,0.0,0.0
84960e7ffffffff,4.0,2.0,0.0,0.0
84960edffffffff,1.0,0.0,0.0,0.0
8496101ffffffff,2.0,2.0,0.0,0.0
8496153ffffffff,2.0,0.0,0.0,0.0
849615bffffffff,1.0,0.0,0.0,0.0
849615dffffffff,12.0,7.0,0.0,0.0
8496203ffffffff,3.0,0.0,0.0,0.0
8496207ffffffff,5.0,0.0,0.0,0.0
8496217ffffffff,6.0,0.0,0.0,0.0
8496233ffffffff,31.0,3.0,0.0,0.0
8496239ffffffff,8.0,2.0,0.0,0.0
849623bffffffff,123.0,10.0,0.0,0.0
8496241ffffffff,1.0,0.0,0.0,0.0
8496263ffffffff,6.0,0.0,0.0,0.0
849628bffffffff,4.0,0.0,0.0,0.0
849629dffffffff,2.0,0.0,0.0,0.0
84962b7ffffffff,7.0,5.0,0.0,0.0
84962c5ffffffff,1.0,0.0,0.0,0.0
84962c9ffffffff,11.0,2.0,0.0,0.0
84962e5ffffffff,7.0,0.0,0.0,0.0
84962edffffffff,48.0,2.0,0.0,0.0
8496311ffffffff,2.0,0.0,0.0,0.0
8496335ffffffff,22.0,4.0,0.0,0.0
8496365ffffffff,37.0,13.0,0.0,0.0
84964d5ffffffff,2.0,0.0,0.0,0.0
8496569ffffffff,11.0,6.0,0.0,0.0
8496703ffffffff,2.0,2.0,0.0,0.0
8496721ffffffff,2.0,0.0,0.0,0.0
8496745ffffffff,1.0,0.0,0.0,0.0
8496805ffffffff,1.0,0.0,0.0,0.0
8496815ffffffff,2.0,2.0,0.0,0.0
8496861ffffffff,1.0,0.0,0.0,0.0
84968d1ffffffff,4.0,0.0,0.0,0.0
8496901ffffffff,5.0,0.0,0.0,0.0
8496903ffffffff,5.0,0.0,0.0,0.0
8496907ffffffff,54.0,18.0,0.0,0.0
8496909ffffffff,2.0,2.0,0.0,0.0
8496915ffffffff,2.0,0.0,0.0,0.0
8496921ffffffff,164.0,36.0,0.0,0.0
8496923ffffffff,8.0,0.0,0.0,0.0
8496925ffffffff,577.0,100.0,0.0,0.0
8496927ffffffff,2.0,0.0,0.0,0.0
849692bffffffff,14.0,0.0,0.0,0.0
849692dffffffff,92.0,6.0,0.0,0.0
8496931ffffffff,12.0,0.0,0.0,0.0
8496933ffffffff,56.0,14.0,0.0,0.0
8496935ffffffff,248.0,44.0,0.0,0.0
8496937ffffffff,66.0,15.0,0.0,0.0
849693bffffffff,1.0,0.0,0.0,0.0
849693dffffffff,122.0,25.0,0.0,0.0
84969a1ffffffff,2.0,0.0,0.0,0.0
84969a5ffffffff,3.0,1.0,0.0,0.0
84969b1ffffffff,1.0,0.0,0.0,0.0
8496a01ffffffff,2.0,0.0,0.0,0.0
8496a05ffffffff,2.0,0.0,0.0,0.0
8496a15ffffffff,50.0,44.0,0.0,0.0
8496a2dffffffff,33.0,0.0,0.0,0.0
8496a39ffffffff,9.0,0.0,0.0,0.0
8496a59ffffffff,4.0,0.0,0.0,0.0
8496a5dffffffff,2.0,2.0,0.0,0.0
8496a81ffffffff,2.0,0.0,0.0,0.0
8496a85ffffffff,1.0,0.0,0.0,0.0
8496a89ffffffff,11.0,2.0,0.0,0.0
8496a8bffffffff,1.0,0.0,0.0,0.0
8496a9dffffffff,2.0,0.0,0.0,0.0
8496aa9ffffffff,4.0,0.0,0.0,0.0
8496ab9ffffffff,2.0,0.0,0.0,0.0
8496ac3ffffffff,2.0,2.0,0.0,0.0
8496ac7ffffffff,2.0,2.0,0.0,0.0
8496b09ffffffff,28.0,4.0,0.0,0.0
8496b13ffffffff,13.0,4.0,0.0,0.0
8496b19ffffffff,85.0,3.0,0.0,0.0
8496b1bffffffff,44.0,3.0,0.0,0.0
8496b21ffffffff,1.0,0.0,0.0,0.0
8496b2bffffffff,7.0,0.0,0.0,0.0
8496b53ffffffff,40.0,2.0,0.0,0.0
8496b55ffffffff,8.0,0.0,0.0,0.0
8496b57ffffffff,36.0,2.0,0.0,0.0
8496b5bffffffff,3.0,0.0,0.0,0.0
8496b63ffffffff,4.0,0.0,0.0,0.0
8496b67ffffffff,9.0,2.0,0.0,0.0
8496b69ffffffff,4.0,0.0,0.0,0.0
8496e49ffffffff,1.0,0.0,0.0,0.0
8497007ffffffff,3.0,0.0,0.0,0.0
8497027ffffffff,19.0,0.0,0.0,0.0
849702bffffffff,28.0,6.0,0.0,0.0
8497035ffffffff,83.0,31.0,0.0,0.0
849703dffffffff,19.0,0.0,0.0,0.0
8497053ffffffff,1.0,0.0,0.0,0.0
84970a7ffffffff,2.0,0.0,0.0,0.0
84970c5ffffffff,5.0,3.0,0.0,0.0
8497113ffffffff,24.0,4.0,0.0,0.0
8497119ffffffff,8.0,0.0,0.0,0.0
8497131ffffffff,6.0,0.0,0.0,0.0
849713dffffffff,1.0,0.0,0.0,0.0
8497151ffffffff,3.0,3.0,0.0,0.0
8497153ffffffff,3.0,3.0,0.0,0.0
8497199ffffffff,64.0,15.0,0.0,0.0
849719bffffffff,49.0,15.0,0.0,0.0
84971c1ffffffff,80.0,9.0,0.0,0.0
84971c3ffffffff,24.0,5.0,0.0,0.0
84971c9ffffffff,11.0,0.0,0.0,0.0
84971cbffffffff,43.0,11.0,0.0,0.0
84971d7ffffffff,1.0,0.0,0.0,0.0
84971ddffffffff,2.0,0.0,0.0,0.0
8497515ffffffff,2.0,0.0,0.0,0.0
8497535ffffffff,3.0,1.0,0.0,0.0
849772dffffffff,2.0,0.0,0.0,0.0
849788bffffffff,2.0,0.0,0.0,0.0
8497895ffffffff,12.0,4.0,0.0,0.0
84978a1ffffffff,1.0,0.0,0.0,0.0
84978d1ffffffff,2.0,0.0,0.0,0.0
84978d9ffffffff,20.0,11.0,0.0,0.0
84978e3ffffffff,8.0,8.0,0.0,0.0
84978e7ffffffff,4.0,4.0,0.0,0.0
8497913ffffffff,4.0,0.0,0.0,0.0
8497937ffffffff,3.0,0.0,0.0,0.0
849799bffffffff,7.0,3.0,0.0,0.0
84979d3ffffffff,3.0,0.0,0.0,0.0
84979e9ffffffff,3.0,0.0,0.0,0.0
8497a85ffffffff,14.0,2.0,0.0,0.0
8497a89ffffffff,14.0,3.0,0.0,0.0
8497a8bffffffff,4.0,4.0,0.0,0.0
8497aa1ffffffff,1.0,1.0,0.0,0.0
8497aabffffffff,4.0,0.0,0.0,0.0
8497ac7ffffffff,2.0,2.0,0.0,0.0
