cell_id,Picoides tridactylus,Picoides tridactylus [tridactylus Group],Picoides tridactylus funebris
831014fffffffff,1.0,0.0,0.0
8310acfffffffff,2.0,0.0,0.0
8310c2fffffffff,2.0,0.0,0.0
8310eefffffffff,1.0,0.0,0.0
831104fffffffff,4.0,0.0,0.0
831106fffffffff,2.0,0.0,0.0
83110dfffffffff,1.0,0.0,0.0
831123fffffffff,1.0,0.0,0.0
831124fffffffff,3.0,0.0,0.0
831125fffffffff,3.0,0.0,0.0
831126fffffffff,9.0,0.0,0.0
831128fffffffff,3.0,0.0,0.0
83112afffffffff,2.0,2.0,0.0
83112cfffffffff,1.0,0.0,0.0
83112dfffffffff,5.0,1.0,0.0
83112efffffffff,3.0,2.0,0.0
831134fffffffff,4.0,0.0,0.0
831136fffffffff,2.0,0.0,0.0
831166fffffffff,2.0,0.0,0.0
8311aafffffffff,32.0,0.0,0.0
8311aefffffffff,3.0,0.0,0.0
831598fffffffff,26.0,2.0,0.0
831616fffffffff,18.0,0.0,0.0
831e01fffffffff,20.0,0.0,0.0
831e05fffffffff,27.0,0.0,0.0
831e0bfffffffff,1.0,0.0,0.0
831e10fffffffff,4.0,0.0,0.0
831e12fffffffff,14.0,0.0,0.0
831e15fffffffff,2.0,0.0,0.0
831e16fffffffff,5.0,0.0,0.0
831e2afffffffff,10.0,0.0,0.0
831e2bfffffffff,3.0,0.0,0.0
831e32fffffffff,7.0,2.0,0.0
831e36fffffffff,1.0,0.0,0.0
831e50fffffffff,4.0,0.0,0.0
831e52fffffffff,5.0,0.0,0.0
831eacfffffffff,3.0,0.0,0.0
831ef6fffffffff,8.0,0.0,0.0
831f40fffffffff,3.0,0.0,0.0
831f42fffffffff,1.0,0.0,0.0
831f43fffffffff,2.0,0.0,0.0
831f4efffffffff,2.0,0.0,0.0
831f51fffffffff,3.0,0.0,0.0
831f5cfffffffff,19.0,0.0,0.0
831f5dfffffffff,1.0,0.0,0.0
831f5efffffffff,69.0,0.0,0.0
831f61fffffffff,5.0,0.0,0.0
831f63fffffffff,2.0,0.0,0.0
831f65fffffffff,5.0,0.0,0.0
831f6cfffffffff,2.0,0.0,0.0
831f82fffffffff,3.0,3.0,0.0
831f83fffffffff,8.0,2.0,0.0
831f88fffffffff,28.0,10.0,0.0
831f89fffffffff,12.0,0.0,0.0
831f8afffffffff,8.0,0.0,0.0
831f8bfffffffff,4.0,0.0,0.0
831f8efffffffff,6.0,0.0,0.0
831f91fffffffff,6.0,0.0,0.0
831f9cfffffffff,9.0,1.0,0.0
831f9dfffffffff,2.0,0.0,0.0
8320e6fffffffff,30.0,0.0,0.0
8320eefffffffff,3.0,0.0,0.0
8320f1fffffffff,1.0,0.0,0.0
832421fffffffff,1.0,0.0,0.0
832425fffffffff,7.0,0.0,0.0
83242efffffffff,3.0,0.0,0.0
832466fffffffff,3.0,0.0,0.0
832546fffffffff,5.0,0.0,0.0
832551fffffffff,2.0,0.0,0.0
832553fffffffff,3.0,0.0,0.0
832559fffffffff,13.0,0.0,0.0
83255afffffffff,55.0,0.0,0.0
83255bfffffffff,9.0,0.0,0.0
832571fffffffff,1.0,0.0,0.0
8325b0fffffffff,11.0,0.0,0.0
8325b1fffffffff,1.0,0.0,0.0
833c6afffffffff,16.0,0.0,3.0
834043fffffffff,2.0,0.0,2.0
83405bfffffffff,1.0,0.0,0.0
8340c1fffffffff,2.0,0.0,0.0
8340c2fffffffff,10.0,0.0,0.0
8340c6fffffffff,2.0,0.0,0.0
8340e1fffffffff,3.0,0.0,0.0
8340e3fffffffff,2.0,0.0,0.0
