cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
83a8ecfffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a8f4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a8f6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a905fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83a90cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a90efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a921fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a929fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a92cfffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a92efffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
83a942fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a944fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a950fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a962fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a971fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a974fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a975fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b200fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b203fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b20bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b219fffffffff,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
83b21dfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b228fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83b229fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
