cell_id,Leptopogon superciliaris,Leptopogon superciliaris transandinus,Leptopogon superciliaris superciliaris,Leptopogon superciliaris albidiventer
836741fffffffff,350.0,0.0,1.0,0.0
836742fffffffff,83.0,0.0,0.0,0.0
836743fffffffff,300.0,0.0,13.0,0.0
83674cfffffffff,445.0,0.0,11.0,0.0
83674efffffffff,136.0,0.0,0.0,0.0
836751fffffffff,66.0,0.0,0.0,0.0
836758fffffffff,3.0,0.0,0.0,0.0
83675afffffffff,65.0,0.0,2.0,0.0
83675cfffffffff,114.0,0.0,0.0,0.0
83675efffffffff,51.0,0.0,1.0,0.0
83679afffffffff,119.0,0.0,0.0,0.0
836d68fffffffff,49.0,0.0,0.0,0.0
836d69fffffffff,2277.0,0.0,0.0,0.0
838b20fffffffff,8.0,0.0,0.0,0.0
838b21fffffffff,11.0,0.0,0.0,0.0
838b22fffffffff,73.0,0.0,0.0,0.0
838b23fffffffff,3.0,0.0,0.0,0.0
838b2cfffffffff,70.0,0.0,0.0,0.0
838b2dfffffffff,12.0,0.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,868.0,0.0,0.0,12.0
838b63fffffffff,7.0,0.0,0.0,0.0
838b6cfffffffff,86.0,0.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0,0.0
838b74fffffffff,6.0,0.0,0.0,0.0
838b75fffffffff,38.0,0.0,0.0,0.0
838e64fffffffff,164.0,0.0,0.0,0.0
838e65fffffffff,62.0,0.0,0.0,0.0
838f0dfffffffff,516.0,50.0,0.0,0.0
838f28fffffffff,5.0,1.0,0.0,0.0
838f29fffffffff,46.0,2.0,0.0,0.0
838f2afffffffff,64.0,0.0,0.0,0.0
838f2bfffffffff,76.0,2.0,0.0,0.0
838f2cfffffffff,158.0,0.0,0.0,0.0
838f2dfffffffff,1.0,0.0,0.0,0.0
838f2efffffffff,8.0,0.0,0.0,0.0
838f40fffffffff,202.0,0.0,12.0,0.0
838f42fffffffff,34.0,0.0,17.0,0.0
838f43fffffffff,65.0,0.0,2.0,0.0
838f46fffffffff,621.0,0.0,43.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0
838f4afffffffff,26.0,0.0,0.0,0.0
838f54fffffffff,12.0,0.0,0.0,0.0
838f55fffffffff,7.0,0.0,0.0,0.0
838f5dfffffffff,39.0,0.0,0.0,0.0
838f70fffffffff,34.0,0.0,4.0,0.0
838f72fffffffff,592.0,0.0,100.0,0.0
838f73fffffffff,35.0,0.0,0.0,0.0
838f74fffffffff,59.0,0.0,0.0,0.0
838f76fffffffff,100.0,0.0,5.0,0.0
83b324fffffffff,11.0,0.0,0.0,0.0
83b325fffffffff,47.0,0.0,0.0,0.0
83b366fffffffff,3.0,0.0,0.0,0.0
