cell_id,Molothrus aeneus,Molothrus aeneus [aeneus Group],Molothrus aeneus armenti
83452dfffffffff,92.0,0.0,0.0
83452efffffffff,2614.0,75.0,0.0
834530fffffffff,22.0,0.0,0.0
834531fffffffff,187.0,0.0,0.0
834532fffffffff,50.0,0.0,0.0
834534fffffffff,47.0,0.0,0.0
834535fffffffff,144.0,0.0,0.0
834536fffffffff,13.0,0.0,0.0
834564fffffffff,9.0,0.0,0.0
834569fffffffff,2.0,0.0,0.0
83456dfffffffff,10.0,0.0,0.0
834572fffffffff,315.0,71.0,0.0
834574fffffffff,10.0,0.0,0.0
834576fffffffff,130.0,4.0,0.0
834801fffffffff,5.0,0.0,0.0
834802fffffffff,50.0,0.0,0.0
834803fffffffff,19.0,0.0,0.0
834806fffffffff,80.0,0.0,0.0
834808fffffffff,2.0,0.0,0.0
834809fffffffff,59.0,0.0,0.0
83480afffffffff,331.0,0.0,0.0
83480bfffffffff,20.0,0.0,0.0
83480efffffffff,62.0,0.0,0.0
834810fffffffff,7.0,0.0,0.0
834812fffffffff,9.0,0.0,0.0
834813fffffffff,1.0,0.0,0.0
834814fffffffff,58.0,0.0,0.0
834815fffffffff,24.0,0.0,0.0
834816fffffffff,8.0,0.0,0.0
834819fffffffff,2.0,0.0,0.0
83481afffffffff,14.0,0.0,0.0
83481bfffffffff,25.0,0.0,0.0
83481dfffffffff,11.0,0.0,0.0
83481efffffffff,1.0,0.0,0.0
834830fffffffff,12.0,0.0,0.0
834832fffffffff,56.0,0.0,0.0
834833fffffffff,284.0,0.0,0.0
834836fffffffff,2681.0,72.0,0.0
834852fffffffff,3.0,0.0,0.0
834856fffffffff,138.0,0.0,0.0
834859fffffffff,22.0,0.0,0.0
83485bfffffffff,38.0,0.0,0.0
83485efffffffff,5.0,0.0,0.0
834880fffffffff,267.0,2.0,0.0
834881fffffffff,28.0,0.0,0.0
834882fffffffff,619.0,0.0,0.0
834883fffffffff,689.0,0.0,0.0
834884fffffffff,43.0,7.0,0.0
834885fffffffff,3.0,0.0,0.0
834886fffffffff,329.0,0.0,0.0
834888fffffffff,104.0,0.0,0.0
834889fffffffff,48.0,0.0,0.0
83488afffffffff,84.0,0.0,0.0
83488bfffffffff,117.0,0.0,0.0
83488cfffffffff,60.0,0.0,0.0
83488dfffffffff,481.0,0.0,0.0
83488efffffffff,354.0,0.0,0.0
834890fffffffff,411.0,0.0,0.0
834891fffffffff,317.0,0.0,0.0
834892fffffffff,394.0,0.0,0.0
834893fffffffff,92.0,0.0,0.0
834895fffffffff,2997.0,2.0,0.0
834898fffffffff,297.0,0.0,0.0
834899fffffffff,26.0,0.0,0.0
83489afffffffff,8.0,0.0,0.0
83489cfffffffff,589.0,0.0,0.0
83489dfffffffff,305.0,0.0,0.0
83489efffffffff,189.0,0.0,0.0
8348a0fffffffff,19.0,0.0,0.0
8348a1fffffffff,1.0,0.0,0.0
8348a2fffffffff,1052.0,63.0,0.0
8348a3fffffffff,9.0,0.0,0.0
8348a6fffffffff,59.0,0.0,0.0
8348aafffffffff,2.0,0.0,0.0
8348abfffffffff,244.0,0.0,0.0
8348acfffffffff,2.0,0.0,0.0
8348aefffffffff,4.0,0.0,0.0
8348b0fffffffff,13.0,3.0,0.0
8348b1fffffffff,1477.0,40.0,0.0
8348b2fffffffff,1794.0,53.0,0.0
8348b3fffffffff,10334.0,236.0,0.0
8348b4fffffffff,7.0,0.0,0.0
8348b5fffffffff,106.0,5.0,0.0
8348c0fffffffff,43.0,0.0,0.0
8348c1fffffffff,1.0,0.0,0.0
8348c4fffffffff,6.0,0.0,0.0
8348c5fffffffff,1741.0,0.0,0.0
8348c6fffffffff,98.0,0.0,0.0
8348cdfffffffff,23.0,0.0,0.0
8348d0fffffffff,1.0,0.0,0.0
8348d1fffffffff,2.0,0.0,0.0
8348d2fffffffff,9.0,0.0,0.0
8348d3fffffffff,139.0,0.0,0.0
8348d4fffffffff,100.0,0.0,0.0
8348d5fffffffff,6.0,0.0,0.0
8348d6fffffffff,8.0,0.0,0.0
8348defffffffff,3.0,0.0,0.0
8348e0fffffffff,2.0,0.0,0.0
8348e1fffffffff,13.0,0.0,0.0
8348e2fffffffff,3.0,0.0,0.0
8348e3fffffffff,96.0,0.0,0.0
8348e4fffffffff,51.0,0.0,0.0
8348e5fffffffff,45.0,0.0,0.0
8348e6fffffffff,7.0,0.0,0.0
8348e8fffffffff,3901.0,0.0,0.0
8348e9fffffffff,57.0,0.0,0.0
8348eafffffffff,90.0,0.0,0.0
8348ebfffffffff,723.0,0.0,0.0
8348ecfffffffff,1191.0,0.0,0.0
8348edfffffffff,8.0,0.0,0.0
8348eefffffffff,2169.0,0.0,0.0
8348f2fffffffff,342.0,0.0,0.0
8348f3fffffffff,31.0,0.0,0.0
8348f5fffffffff,2.0,0.0,0.0
8348f6fffffffff,34.0,0.0,0.0
834980fffffffff,520.0,0.0,0.0
834981fffffffff,73.0,0.0,0.0
834982fffffffff,128.0,1.0,0.0
834983fffffffff,241.0,0.0,0.0
834984fffffffff,2.0,2.0,0.0
834985fffffffff,47.0,4.0,0.0
834986fffffffff,477.0,59.0,0.0
834988fffffffff,83.0,0.0,0.0
83498bfffffffff,4.0,0.0,0.0
83498cfffffffff,125.0,6.0,0.0
83498dfffffffff,6.0,2.0,0.0
83498efffffffff,100.0,0.0,0.0
834990fffffffff,98.0,18.0,0.0
834991fffffffff,78.0,0.0,0.0
834992fffffffff,33.0,8.0,0.0
834993fffffffff,19.0,0.0,0.0
834994fffffffff,526.0,18.0,0.0
834995fffffffff,3694.0,308.0,0.0
834996fffffffff,4326.0,296.0,0.0
834998fffffffff,332.0,9.0,0.0
834999fffffffff,4.0,2.0,0.0
83499afffffffff,4.0,0.0,0.0
83499bfffffffff,66.0,2.0,0.0
83499cfffffffff,76.0,1.0,0.0
83499dfffffffff,11.0,0.0,0.0
83499efffffffff,29.0,0.0,0.0
8349a2fffffffff,39.0,0.0,0.0
8349a3fffffffff,13.0,0.0,0.0
8349a8fffffffff,621.0,17.0,0.0
8349a9fffffffff,699.0,32.0,0.0
8349aafffffffff,693.0,18.0,0.0
8349abfffffffff,350.0,8.0,0.0
8349acfffffffff,6.0,0.0,0.0
8349adfffffffff,19.0,6.0,0.0
8349aefffffffff,17.0,0.0,0.0
8349b0fffffffff,46.0,1.0,0.0
8349b1fffffffff,27.0,1.0,0.0
8349b2fffffffff,171.0,0.0,0.0
8349b3fffffffff,901.0,13.0,0.0
8349b4fffffffff,10.0,0.0,0.0
8349b5fffffffff,86.0,4.0,0.0
8349b6fffffffff,7.0,1.0,0.0
836606fffffffff,5.0,0.0,0.0
836616fffffffff,1.0,0.0,0.0
836620fffffffff,10.0,0.0,2.0
836622fffffffff,307.0,0.0,112.0
836631fffffffff,7.0,0.0,0.0
8366a0fffffffff,23.0,1.0,0.0
8366a1fffffffff,32.0,0.0,0.0
8366a2fffffffff,4.0,0.0,0.0
8366a3fffffffff,89.0,0.0,0.0
8366a5fffffffff,164.0,12.0,0.0
8366a6fffffffff,16.0,1.0,0.0
8366aefffffffff,4.0,0.0,0.0
8366b0fffffffff,770.0,0.0,0.0
8366b1fffffffff,22.0,10.0,0.0
8366b4fffffffff,2406.0,0.0,0.0
8366b5fffffffff,2655.0,63.0,0.0
8366b6fffffffff,81.0,0.0,0.0
836792fffffffff,11.0,0.0,0.0
836796fffffffff,10.0,0.0,0.0
83679afffffffff,804.0,0.0,0.0
83679bfffffffff,231.0,0.0,0.0
836d04fffffffff,208.0,34.0,0.0
836d05fffffffff,470.0,176.0,0.0
836d06fffffffff,21.0,2.0,0.0
836d14fffffffff,40.0,0.0,0.0
836d15fffffffff,158.0,21.0,0.0
836d20fffffffff,13.0,0.0,0.0
836d21fffffffff,122.0,25.0,0.0
836d22fffffffff,12.0,2.0,0.0
836d23fffffffff,832.0,105.0,0.0
836d24fffffffff,8.0,0.0,0.0
836d25fffffffff,241.0,19.0,0.0
836d28fffffffff,1405.0,102.0,0.0
836d29fffffffff,1199.0,120.0,0.0
836d2afffffffff,217.0,14.0,0.0
836d2bfffffffff,1240.0,68.0,0.0
836d2cfffffffff,264.0,34.0,0.0
836d2dfffffffff,893.0,329.0,0.0
836d2efffffffff,180.0,45.0,0.0
836d30fffffffff,230.0,9.0,0.0
836d31fffffffff,592.0,71.0,0.0
836d32fffffffff,1122.0,126.0,0.0
836d33fffffffff,157.0,20.0,0.0
836d34fffffffff,658.0,67.0,0.0
836d35fffffffff,178.0,11.0,0.0
836d36fffffffff,82.0,8.0,0.0
836d60fffffffff,275.0,0.0,0.0
836d61fffffffff,533.0,0.0,0.0
836d63fffffffff,90.0,0.0,0.0
836d64fffffffff,1854.0,0.0,0.0
836d65fffffffff,603.0,0.0,0.0
836d66fffffffff,367.0,0.0,0.0
836d68fffffffff,808.0,0.0,0.0
836d69fffffffff,4792.0,0.0,0.0
836d6bfffffffff,145.0,0.0,0.0
836d6cfffffffff,17.0,0.0,0.0
836d6dfffffffff,602.0,0.0,0.0
836d6efffffffff,92.0,0.0,0.0
836d74fffffffff,751.0,4.0,0.0
836d75fffffffff,125.0,0.0,0.0
836d76fffffffff,90.0,8.0,0.0
