cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
83ada6fffffffff,1.0,0.0,0.0,0.0
83adb0fffffffff,2.0,0.0,2.0,0.0
83adb4fffffffff,1.0,0.0,1.0,0.0
83bc19fffffffff,16.0,0.0,16.0,0.0
83bc1bfffffffff,3.0,0.0,0.0,0.0
83bc42fffffffff,1.0,0.0,1.0,0.0
83bc45fffffffff,1.0,0.0,0.0,0.0
83bc50fffffffff,11.0,0.0,0.0,0.0
83bc55fffffffff,4.0,0.0,1.0,0.0
83bc56fffffffff,1.0,0.0,1.0,0.0
83bc5efffffffff,2.0,0.0,0.0,0.0
83bc6afffffffff,1.0,0.0,0.0,0.0
83bc6bfffffffff,4.0,0.0,0.0,0.0
83bc71fffffffff,2.0,0.0,2.0,0.0
83bc72fffffffff,2.0,0.0,0.0,0.0
83bc89fffffffff,25.0,0.0,7.0,0.0
83bcc1fffffffff,2.0,0.0,2.0,0.0
83bcc2fffffffff,54.0,0.0,27.0,0.0
83bcc3fffffffff,69.0,0.0,28.0,0.0
83bcc4fffffffff,7.0,0.0,4.0,0.0
83bcc5fffffffff,2.0,0.0,0.0,0.0
83bcc6fffffffff,95.0,0.0,58.0,0.0
83bccafffffffff,4.0,0.0,0.0,0.0
83bcccfffffffff,5.0,0.0,3.0,0.0
83bccefffffffff,2.0,0.0,2.0,0.0
83bcd0fffffffff,5.0,0.0,4.0,0.0
83bcd1fffffffff,36.0,0.0,22.0,0.0
83bcd2fffffffff,18.0,0.0,3.0,0.0
83bcd4fffffffff,4.0,0.0,2.0,0.0
83bcd5fffffffff,8.0,0.0,3.0,0.0
83bcd6fffffffff,19.0,0.0,15.0,0.0
83bcd8fffffffff,1.0,0.0,1.0,0.0
83bcd9fffffffff,13.0,0.0,12.0,0.0
83bcdcfffffffff,109.0,0.0,73.0,0.0
83bcddfffffffff,11.0,0.0,11.0,0.0
83bcdefffffffff,16.0,0.0,7.0,0.0
83bce0fffffffff,3.0,0.0,3.0,0.0
83bce2fffffffff,30.0,0.0,22.0,0.0
83bce6fffffffff,20.0,0.0,18.0,0.0
83bce8fffffffff,4.0,0.0,2.0,0.0
83bce9fffffffff,21.0,0.0,13.0,0.0
83bceafffffffff,2.0,0.0,2.0,0.0
83bcecfffffffff,4.0,0.0,0.0,0.0
83bcf1fffffffff,15.0,0.0,7.0,0.0
83bcf2fffffffff,56.0,0.0,41.0,0.0
83bcf3fffffffff,28.0,0.0,11.0,0.0
83bcf5fffffffff,22.0,0.0,14.0,0.0
83bcf6fffffffff,12.0,0.0,11.0,0.0
