cell_id,Metallura tyrianthina,Metallura tyrianthina districta,Metallura tyrianthina chloropogon,Metallura tyrianthina oreopola,Metallura tyrianthina tyrianthina/quitensis,Metallura tyrianthina septentrionalis,Metallura tyrianthina smaragdinicollis
8467413ffffffff,76.0,0.0,3.0,0.0,0.0,0.0,0.0
8467417ffffffff,222.0,0.0,10.0,0.0,0.0,0.0,0.0
846743bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84674e9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
84675a5ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
84675adffffffff,152.0,0.0,0.0,0.0,0.0,0.0,0.0
848b203ffffffff,128.0,0.0,0.0,0.0,0.0,0.0,0.0
848b211ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
848b21dffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
848b2c1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
848b2c5ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848b2cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848b2cdffffffff,186.0,0.0,0.0,0.0,0.0,0.0,0.0
848b603ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
848b611ffffffff,721.0,0.0,0.0,0.0,0.0,0.0,52.0
848b615ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848b617ffffffff,988.0,0.0,0.0,0.0,0.0,0.0,53.0
848b619ffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
848b61bffffffff,421.0,0.0,0.0,0.0,0.0,0.0,12.0
848b61dffffffff,34.0,0.0,0.0,0.0,0.0,0.0,3.0
848b665ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,1.0
848b6c5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6c9ffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6cdffffffff,596.0,0.0,0.0,0.0,0.0,0.0,23.0
848b759ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
848b75bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848e609ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
848e60bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848e61dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848e645ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848e649ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
848e64bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848e651ffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
848e655ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
848e657ffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6c1ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6c3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6c7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6c9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6cdffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6d1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848e6d9ffffffff,342.0,0.0,0.0,0.0,0.0,0.0,13.0
848e6ddffffffff,118.0,0.0,0.0,0.0,0.0,0.0,0.0
848f0d3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848f0dbffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848f291ffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f297ffffffff,48.0,0.0,0.0,0.0,1.0,0.0,0.0
848f29bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f2bbffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f2d3ffffffff,51.0,0.0,0.0,0.0,1.0,0.0,0.0
848f2d9ffffffff,25.0,0.0,0.0,0.0,2.0,0.0,0.0
848f2dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f2ddffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848f425ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f42dffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
848f465ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,129.0,0.0,0.0,0.0,0.0,0.0,13.0
848f4a7ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
848f509ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
848f50bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848f511ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f513ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
848f515ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848f519ffffffff,316.0,0.0,0.0,0.0,0.0,0.0,0.0
848f51bffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
848f51dffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
848f541ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
848f547ffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
848f549ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848f54bffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
848f54dffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
848f551ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848f553ffffffff,319.0,0.0,0.0,0.0,0.0,0.0,0.0
848f555ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848f557ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f559ffffffff,165.0,0.0,0.0,0.0,0.0,0.0,0.0
848f55bffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
848f55dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f581ffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0
848f583ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848f589ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
848f58dffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
848f595ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f599ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
848f59bffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5b9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5c1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5cdffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5d7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5ddffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
848f5ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f705ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848f721ffffffff,214.0,0.0,0.0,0.0,0.0,0.0,0.0
848f725ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
848f727ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
848f729ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
848f72dffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0
848f733ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
848f745ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f761ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848f765ffffffff,43.0,0.0,0.0,0.0,1.0,0.0,0.0
848f767ffffffff,199.0,0.0,0.0,0.0,0.0,0.0,0.0
848f769ffffffff,90.0,0.0,0.0,0.0,1.0,0.0,0.0
848f76bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848f76dffffffff,364.0,0.0,0.0,0.0,14.0,0.0,0.0
84b3209ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84b3219ffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
84b321dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84b3241ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84b3243ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84b3253ffffffff,108.0,0.0,0.0,0.0,0.0,0.0,0.0
84b32c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
