cell_id,Penelope superciliaris,Penelope superciliaris pseudonyma,Penelope superciliaris [superciliaris Group]
84a8101ffffffff,30.0,0.0,0.0
84a8103ffffffff,3.0,0.0,0.0
84a8107ffffffff,1.0,0.0,0.0
84a8109ffffffff,82.0,0.0,0.0
84a8113ffffffff,7.0,0.0,0.0
84a811dffffffff,1.0,0.0,0.0
84a8123ffffffff,5.0,0.0,0.0
84a8125ffffffff,1.0,0.0,0.0
84a812bffffffff,2.0,0.0,0.0
84a812dffffffff,3.0,0.0,0.0
84a8139ffffffff,5.0,0.0,0.0
84a8143ffffffff,3.0,0.0,0.0
84a8155ffffffff,2.0,0.0,0.0
84a815bffffffff,2.0,0.0,0.0
84a8185ffffffff,3.0,0.0,0.0
84a818dffffffff,15.0,0.0,0.0
84a8195ffffffff,4.0,0.0,0.0
84a81a7ffffffff,1.0,0.0,0.0
84a81b1ffffffff,4.0,0.0,0.0
84a81b3ffffffff,1.0,0.0,0.0
84a81bbffffffff,10.0,0.0,0.0
84a81c3ffffffff,11.0,0.0,0.0
84a81c5ffffffff,1.0,0.0,0.0
84a81c7ffffffff,3.0,0.0,0.0
84a81cdffffffff,82.0,0.0,0.0
84a81d9ffffffff,16.0,0.0,0.0
84a81e1ffffffff,4.0,0.0,0.0
84a81e3ffffffff,4.0,0.0,0.0
84a81e7ffffffff,6.0,0.0,0.0
84a81e9ffffffff,7.0,0.0,0.0
84a81edffffffff,12.0,0.0,0.0
84a8287ffffffff,5.0,0.0,0.0
84a82a5ffffffff,2.0,0.0,0.0
84a82abffffffff,1.0,0.0,0.0
84a82c3ffffffff,3.0,0.0,0.0
84a82c9ffffffff,2.0,0.0,0.0
84a82d3ffffffff,3.0,0.0,0.0
84a82dbffffffff,2.0,0.0,0.0
84a82ddffffffff,4.0,0.0,0.0
84a8311ffffffff,2.0,0.0,0.0
84a8357ffffffff,1.0,0.0,0.0
84a8359ffffffff,1.0,0.0,0.0
84a835dffffffff,2.0,0.0,0.0
84a8447ffffffff,1.0,0.0,0.0
84a844dffffffff,16.0,0.0,0.0
84a8461ffffffff,6.0,0.0,0.0
84a8535ffffffff,4.0,0.0,0.0
84a8559ffffffff,2.0,0.0,0.0
84a855dffffffff,5.0,0.0,0.0
84a8591ffffffff,54.0,0.0,0.0
84a8593ffffffff,5.0,0.0,0.0
84a8599ffffffff,9.0,0.0,0.0
84a85b7ffffffff,1.0,0.0,0.0
84a85b9ffffffff,4.0,0.0,0.0
84a85d3ffffffff,19.0,0.0,0.0
84a85d7ffffffff,3.0,0.0,0.0
84a860dffffffff,2.0,0.0,0.0
84a871bffffffff,11.0,0.0,0.0
84a8737ffffffff,2.0,0.0,0.0
84a8805ffffffff,2.0,0.0,0.0
84a8813ffffffff,2.0,0.0,0.0
84a8819ffffffff,2.0,0.0,0.0
84a881bffffffff,8.0,0.0,0.0
84a8821ffffffff,1.0,0.0,0.0
84a882dffffffff,2.0,0.0,0.0
84a8849ffffffff,2.0,0.0,0.0
84a8863ffffffff,2.0,0.0,0.0
84a88a9ffffffff,2.0,0.0,0.0
84a88cdffffffff,12.0,0.0,0.0
84a88ddffffffff,4.0,0.0,0.0
84a8911ffffffff,3.0,0.0,0.0
84a8917ffffffff,59.0,0.0,0.0
84a8919ffffffff,1.0,0.0,0.0
84a891dffffffff,2.0,0.0,0.0
84a8951ffffffff,11.0,0.0,0.0
84a8953ffffffff,5.0,0.0,0.0
84a8957ffffffff,2.0,0.0,0.0
84a895bffffffff,2.0,0.0,0.0
84a89ddffffffff,2.0,0.0,0.0
84a8a03ffffffff,10.0,0.0,0.0
84a8a07ffffffff,310.0,0.0,0.0
84a8a11ffffffff,1.0,0.0,0.0
84a8a13ffffffff,18.0,0.0,0.0
84a8a15ffffffff,2.0,0.0,0.0
84a8a17ffffffff,4.0,0.0,0.0
84a8a19ffffffff,2.0,0.0,0.0
84a8a21ffffffff,1.0,0.0,0.0
84a8a23ffffffff,72.0,0.0,0.0
84a8a25ffffffff,3.0,0.0,0.0
84a8a27ffffffff,2.0,0.0,0.0
84a8a2dffffffff,2.0,0.0,0.0
84a8a35ffffffff,3.0,0.0,0.0
84a8a3dffffffff,4.0,0.0,0.0
84a8a53ffffffff,2.0,0.0,0.0
84a8a89ffffffff,3.0,0.0,0.0
84a8a91ffffffff,17.0,0.0,0.0
84a8a97ffffffff,9.0,0.0,0.0
84a8ad1ffffffff,2.0,0.0,0.0
84a8ad5ffffffff,3.0,0.0,0.0
84a8b17ffffffff,3.0,0.0,0.0
84a8b1bffffffff,1.0,0.0,0.0
84a8c07ffffffff,1.0,0.0,0.0
84a8c0dffffffff,2.0,0.0,0.0
84a8c23ffffffff,2.0,0.0,0.0
84a8c25ffffffff,10.0,0.0,0.0
84a8c2bffffffff,1.0,0.0,0.0
84a8c63ffffffff,4.0,0.0,0.0
84a8c97ffffffff,14.0,0.0,0.0
84a8cadffffffff,1.0,0.0,0.0
84a8ce3ffffffff,1.0,0.0,0.0
84a8d19ffffffff,1.0,0.0,0.0
84a8d1bffffffff,1.0,0.0,0.0
84a8d35ffffffff,17.0,0.0,0.0
84a8d43ffffffff,4.0,0.0,0.0
84a8d9dffffffff,1.0,0.0,0.0
84a8da9ffffffff,2.0,0.0,0.0
84a8de1ffffffff,8.0,0.0,0.0
84a8de3ffffffff,2.0,0.0,0.0
84a8de7ffffffff,4.0,0.0,0.0
84a8debffffffff,3.0,0.0,0.0
84a8ec9ffffffff,6.0,0.0,0.0
84a8f05ffffffff,2.0,0.0,0.0
84a8f41ffffffff,3.0,0.0,0.0
84a8f43ffffffff,3.0,0.0,0.0
84a8f6bffffffff,1.0,0.0,0.0
84a9195ffffffff,7.0,0.0,0.0
84a919dffffffff,3.0,0.0,0.0
84a91b1ffffffff,1.0,0.0,0.0
84a91b5ffffffff,1.0,0.0,0.0
84a91d7ffffffff,2.0,0.0,0.0
84a9425ffffffff,29.0,0.0,0.0
84a942dffffffff,13.0,0.0,0.0
84a943dffffffff,23.0,0.0,0.0
84a9457ffffffff,3.0,0.0,0.0
84a9501ffffffff,12.0,0.0,0.0
84a9503ffffffff,3.0,0.0,0.0
84a9507ffffffff,6.0,0.0,0.0
84a9509ffffffff,6.0,0.0,0.0
84a950bffffffff,14.0,0.0,0.0
84a950dffffffff,5.0,0.0,0.0
84a9515ffffffff,3.0,0.0,0.0
84a951bffffffff,2.0,0.0,0.0
84a951dffffffff,11.0,0.0,0.0
84a9531ffffffff,72.0,0.0,0.0
84a9533ffffffff,71.0,0.0,0.0
84a9537ffffffff,2.0,0.0,0.0
84a9539ffffffff,12.0,0.0,0.0
84a953bffffffff,367.0,0.0,0.0
84a953dffffffff,1.0,0.0,0.0
84a9553ffffffff,5.0,0.0,0.0
84a9557ffffffff,13.0,0.0,0.0
84a955bffffffff,26.0,0.0,0.0
84a95abffffffff,19.0,0.0,0.0
84a95adffffffff,3.0,0.0,0.0
84a95c5ffffffff,8.0,0.0,0.0
84a95c9ffffffff,12.0,0.0,0.0
84a95e5ffffffff,2.0,0.0,0.0
84a95edffffffff,38.0,0.0,0.0
