cell_id,Megascops watsonii,Megascops watsonii watsonii,Megascops watsonii usta
8466eedffffffff,4.0,0.0,0.0
8480469ffffffff,3.0,0.0,2.0
8480619ffffffff,2.0,0.0,2.0
848064bffffffff,1.0,0.0,1.0
8480655ffffffff,8.0,0.0,8.0
848068bffffffff,1.0,0.0,0.0
84806abffffffff,2.0,0.0,0.0
84806b3ffffffff,2.0,0.0,0.0
8480745ffffffff,4.0,0.0,4.0
848075bffffffff,1.0,0.0,1.0
8481431ffffffff,1.0,0.0,1.0
848144bffffffff,2.0,0.0,2.0
848145dffffffff,17.0,0.0,17.0
84814a9ffffffff,5.0,0.0,3.0
84814adffffffff,9.0,0.0,5.0
84814d5ffffffff,23.0,4.0,17.0
84814e3ffffffff,17.0,0.0,16.0
84814e7ffffffff,21.0,0.0,15.0
8481581ffffffff,2.0,0.0,2.0
84815abffffffff,1.0,0.0,0.0
84815c9ffffffff,2.0,0.0,2.0
84815d3ffffffff,1.0,0.0,1.0
84815d9ffffffff,23.0,0.0,19.0
84815e9ffffffff,1.0,0.0,1.0
8481635ffffffff,43.0,0.0,43.0
848a003ffffffff,6.0,0.0,5.0
848a01dffffffff,7.0,0.0,7.0
848a04bffffffff,4.0,0.0,4.0
848a051ffffffff,3.0,0.0,3.0
848a059ffffffff,10.0,0.0,10.0
848a05bffffffff,8.0,0.0,4.0
848a05dffffffff,3.0,0.0,2.0
848a069ffffffff,11.0,0.0,11.0
848a109ffffffff,17.0,0.0,0.0
848a155ffffffff,13.0,0.0,2.0
848a157ffffffff,3.0,0.0,2.0
848a1a7ffffffff,10.0,0.0,10.0
848a213ffffffff,2.0,0.0,2.0
848a217ffffffff,1.0,0.0,0.0
848a21dffffffff,1.0,0.0,0.0
848a23bffffffff,5.0,0.0,5.0
848a243ffffffff,2.0,0.0,2.0
848a249ffffffff,16.0,0.0,16.0
848a313ffffffff,6.0,0.0,6.0
848a337ffffffff,6.0,0.0,6.0
848a33bffffffff,6.0,0.0,2.0
848a451ffffffff,23.0,0.0,0.0
848a459ffffffff,27.0,2.0,2.0
848a45bffffffff,31.0,0.0,0.0
848a45dffffffff,17.0,0.0,0.0
848a4b9ffffffff,4.0,0.0,0.0
848a4cdffffffff,1.0,0.0,0.0
848a4d5ffffffff,3.0,0.0,0.0
848a4d7ffffffff,3.0,0.0,0.0
848a68bffffffff,6.0,0.0,0.0
848a699ffffffff,127.0,0.0,0.0
848a69dffffffff,4.0,0.0,0.0
848a6d3ffffffff,11.0,0.0,0.0
848a6d7ffffffff,72.0,0.0,0.0
848a6d9ffffffff,19.0,0.0,0.0
848a6dbffffffff,29.0,0.0,0.0
848a73dffffffff,3.0,0.0,3.0
848a809ffffffff,9.0,0.0,7.0
848a827ffffffff,2.0,0.0,0.0
848a925ffffffff,2.0,0.0,2.0
848a927ffffffff,3.0,0.0,0.0
848a963ffffffff,2.0,0.0,2.0
848a9cdffffffff,13.0,0.0,13.0
848aa8bffffffff,16.0,0.0,0.0
848aa93ffffffff,6.0,0.0,4.0
848aaa3ffffffff,6.0,0.0,0.0
848aaa5ffffffff,7.0,0.0,0.0
848aaadffffffff,4.0,0.0,0.0
848aacbffffffff,4.0,0.0,0.0
848ad13ffffffff,19.0,0.0,0.0
848ae5bffffffff,5.0,0.0,0.0
848af09ffffffff,21.0,0.0,5.0
848af29ffffffff,36.0,6.0,0.0
848af2bffffffff,2.0,0.0,0.0
848af2dffffffff,4.0,0.0,0.0
848af41ffffffff,2.0,2.0,0.0
848af43ffffffff,2.0,0.0,0.0
848af45ffffffff,3.0,0.0,1.0
848af61ffffffff,14.0,5.0,0.0
848af63ffffffff,63.0,14.0,0.0
848af67ffffffff,34.0,5.0,0.0
848b001ffffffff,2.0,0.0,0.0
848b0c9ffffffff,1.0,0.0,1.0
848b11bffffffff,1.0,0.0,0.0
848b11dffffffff,2.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b223ffffffff,10.0,0.0,0.0
848b229ffffffff,23.0,0.0,6.0
848b22bffffffff,2.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0
848b263ffffffff,1.0,0.0,0.0
848b2c5ffffffff,3.0,0.0,0.0
848b2e9ffffffff,13.0,0.0,0.0
848b315ffffffff,16.0,0.0,2.0
848b401ffffffff,15.0,0.0,0.0
848b405ffffffff,1.0,0.0,1.0
848b407ffffffff,1.0,0.0,0.0
848b40bffffffff,2.0,0.0,0.0
848b40dffffffff,19.0,0.0,1.0
848b429ffffffff,7.0,0.0,0.0
848b42dffffffff,2.0,0.0,2.0
848b445ffffffff,16.0,0.0,0.0
848b447ffffffff,9.0,0.0,0.0
848b449ffffffff,8.0,0.0,0.0
848b44bffffffff,176.0,0.0,41.0
848b44dffffffff,132.0,0.0,13.0
848b459ffffffff,33.0,0.0,1.0
848b463ffffffff,2.0,0.0,0.0
848b469ffffffff,12.0,0.0,0.0
848b46bffffffff,8.0,0.0,0.0
848b481ffffffff,1.0,0.0,1.0
848b483ffffffff,2.0,0.0,0.0
848b4e5ffffffff,9.0,0.0,9.0
848b511ffffffff,9.0,0.0,2.0
848b513ffffffff,17.0,0.0,14.0
848b521ffffffff,1.0,0.0,0.0
848b529ffffffff,7.0,0.0,1.0
848b53dffffffff,4.0,0.0,2.0
848b55dffffffff,1.0,0.0,1.0
848b563ffffffff,2.0,0.0,0.0
848b567ffffffff,1.0,0.0,0.0
848b5c3ffffffff,4.0,0.0,4.0
848b5cdffffffff,8.0,0.0,1.0
848b617ffffffff,337.0,0.0,0.0
848b61bffffffff,4.0,0.0,0.0
848b623ffffffff,3.0,0.0,1.0
848b627ffffffff,44.0,0.0,3.0
848b631ffffffff,5.0,0.0,1.0
848b633ffffffff,12.0,0.0,4.0
848b635ffffffff,9.0,0.0,2.0
848b637ffffffff,265.0,0.0,18.0
848b639ffffffff,1.0,0.0,0.0
848b63bffffffff,309.0,0.0,31.0
848b63dffffffff,1.0,0.0,0.0
848b68bffffffff,6.0,0.0,0.0
848b693ffffffff,22.0,0.0,0.0
848b695ffffffff,9.0,0.0,0.0
848b697ffffffff,2.0,0.0,0.0
848b699ffffffff,2.0,0.0,0.0
848b69bffffffff,3.0,0.0,0.0
848b6c5ffffffff,2.0,0.0,0.0
848b6e1ffffffff,5.0,0.0,0.0
848b6e5ffffffff,25.0,0.0,0.0
848b6e7ffffffff,97.0,0.0,3.0
848b6edffffffff,71.0,0.0,0.0
848b709ffffffff,18.0,0.0,7.0
848b711ffffffff,8.0,0.0,0.0
848b713ffffffff,244.0,0.0,3.0
848b717ffffffff,14.0,0.0,0.0
848b71bffffffff,33.0,0.0,0.0
848b743ffffffff,1.0,0.0,1.0
848b745ffffffff,1.0,0.0,0.0
848b747ffffffff,13.0,0.0,0.0
848b755ffffffff,2.0,0.0,0.0
848b757ffffffff,5.0,0.0,5.0
848b763ffffffff,1.0,0.0,0.0
848b821ffffffff,1.0,0.0,0.0
848b829ffffffff,4.0,0.0,4.0
848b835ffffffff,1.0,0.0,1.0
848b849ffffffff,55.0,0.0,35.0
848b881ffffffff,14.0,0.0,3.0
848b889ffffffff,4.0,0.0,0.0
848b8a1ffffffff,2.0,0.0,2.0
848b999ffffffff,26.0,0.0,24.0
848b99dffffffff,41.0,0.0,3.0
848b9d1ffffffff,13.0,0.0,7.0
848b9d5ffffffff,245.0,0.0,36.0
848b9d7ffffffff,1.0,0.0,0.0
848ba09ffffffff,8.0,0.0,8.0
848ba47ffffffff,2.0,0.0,0.0
848ba55ffffffff,4.0,0.0,0.0
848ba63ffffffff,3.0,0.0,0.0
848e65bffffffff,1.0,0.0,0.0
848f401ffffffff,37.0,0.0,0.0
848f437ffffffff,1.0,0.0,0.0
848f44bffffffff,14.0,0.0,0.0
848f455ffffffff,2.0,0.0,0.0
848f461ffffffff,12.0,0.0,0.0
848f463ffffffff,2.0,0.0,0.0
848f485ffffffff,5.0,0.0,0.0
848f489ffffffff,26.0,0.0,0.0
848f48dffffffff,4.0,0.0,0.0
848f4abffffffff,2.0,0.0,0.0
848f4b5ffffffff,1.0,0.0,0.0
848f4c7ffffffff,12.0,0.0,0.0
848f605ffffffff,1.0,0.0,0.0
848f613ffffffff,1.0,0.0,0.0
848f61bffffffff,1.0,0.0,0.0
848f655ffffffff,3.0,0.0,0.0
848f657ffffffff,4.0,0.0,0.0
848f6a9ffffffff,1.0,0.0,0.0
848f6b5ffffffff,8.0,0.0,2.0
848f6e9ffffffff,5.0,0.0,0.0
848f71bffffffff,2.0,0.0,0.0
848f71dffffffff,4.0,0.0,0.0
848f741ffffffff,1.0,0.0,0.0
848f74bffffffff,17.0,0.0,0.0
84a8599ffffffff,4.0,0.0,1.0
84a8c97ffffffff,3.0,0.0,3.0
