cell_id,Cuculus clamosus,Cuculus clamosus gabonensis,Cuculus clamosus clamosus
83bc6afffffffff,4.0,0.0,2.0
83bc6bfffffffff,2.0,0.0,0.0
83bc71fffffffff,5.0,0.0,0.0
83bc72fffffffff,5.0,0.0,0.0
83bc73fffffffff,12.0,0.0,4.0
83bc89fffffffff,18.0,0.0,13.0
83bcc3fffffffff,35.0,0.0,9.0
83bcc4fffffffff,4.0,0.0,0.0
83bcc6fffffffff,5.0,0.0,2.0
83bccafffffffff,3.0,0.0,0.0
83bcd0fffffffff,64.0,0.0,16.0
83bcd1fffffffff,32.0,0.0,5.0
83bcd2fffffffff,65.0,0.0,18.0
83bcd3fffffffff,1.0,0.0,0.0
83bcd4fffffffff,14.0,0.0,0.0
83bcd5fffffffff,4.0,0.0,0.0
83bcd6fffffffff,10.0,0.0,1.0
83bcd9fffffffff,5.0,0.0,0.0
83bcdafffffffff,3.0,0.0,0.0
83bcdcfffffffff,80.0,0.0,14.0
83bcddfffffffff,8.0,0.0,0.0
83bcdefffffffff,60.0,0.0,15.0
83bce2fffffffff,46.0,0.0,8.0
83bce6fffffffff,66.0,0.0,15.0
83bce9fffffffff,3.0,0.0,0.0
83bceafffffffff,4.0,0.0,0.0
83bcf0fffffffff,42.0,0.0,0.0
83bcf1fffffffff,1.0,0.0,1.0
83bcf2fffffffff,131.0,0.0,21.0
83bcf3fffffffff,28.0,0.0,21.0
83bcf4fffffffff,3.0,0.0,0.0
83bcf5fffffffff,58.0,0.0,28.0
83bcf6fffffffff,58.0,0.0,6.0
