cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
848a317ffffffff,2.0,0.0,0.0,2.0,0.0
848a451ffffffff,2.0,0.0,0.0,0.0,0.0
848a459ffffffff,22.0,0.0,0.0,1.0,0.0
848a45bffffffff,8.0,0.0,0.0,2.0,0.0
848a45dffffffff,1.0,0.0,0.0,0.0,0.0
848a68bffffffff,2.0,0.0,0.0,0.0,0.0
848a699ffffffff,38.0,0.0,0.0,0.0,0.0
848a69dffffffff,4.0,0.0,0.0,0.0,0.0
848a6d7ffffffff,6.0,0.0,0.0,0.0,0.0
848a6d9ffffffff,30.0,0.0,0.0,1.0,0.0
848a6dbffffffff,5.0,0.0,0.0,0.0,0.0
848a809ffffffff,18.0,0.0,0.0,0.0,0.0
848a81bffffffff,5.0,0.0,0.0,0.0,0.0
848a827ffffffff,8.0,0.0,0.0,0.0,0.0
848a9cdffffffff,31.0,0.0,0.0,0.0,0.0
848aaadffffffff,1.0,0.0,0.0,0.0,0.0
848aac9ffffffff,1.0,0.0,0.0,0.0,0.0
848aacbffffffff,2.0,0.0,0.0,0.0,0.0
848ae5bffffffff,3.0,0.0,0.0,0.0,0.0
848af09ffffffff,1.0,0.0,0.0,1.0,0.0
848af11ffffffff,5.0,0.0,0.0,2.0,0.0
848af47ffffffff,1.0,0.0,0.0,0.0,0.0
848af61ffffffff,3.0,0.0,0.0,0.0,0.0
848b00bffffffff,1.0,0.0,0.0,0.0,0.0
848b203ffffffff,23.0,0.0,0.0,0.0,0.0
848b205ffffffff,5.0,0.0,0.0,0.0,0.0
848b211ffffffff,6.0,0.0,0.0,0.0,0.0
848b213ffffffff,4.0,0.0,0.0,0.0,0.0
848b21dffffffff,5.0,0.0,0.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0,0.0,0.0
848b229ffffffff,2.0,0.0,0.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0,0.0,0.0
848b239ffffffff,2.0,0.0,0.0,0.0,0.0
848b2c5ffffffff,15.0,0.0,0.0,0.0,0.0
848b2cdffffffff,10.0,0.0,0.0,0.0,0.0
848b401ffffffff,4.0,0.0,0.0,0.0,0.0
848b40bffffffff,6.0,0.0,0.0,0.0,0.0
848b40dffffffff,2.0,0.0,0.0,0.0,0.0
848b42dffffffff,2.0,0.0,0.0,0.0,0.0
848b445ffffffff,1.0,0.0,0.0,0.0,0.0
848b447ffffffff,8.0,0.0,0.0,0.0,0.0
848b44bffffffff,21.0,0.0,0.0,0.0,0.0
848b44dffffffff,8.0,0.0,0.0,0.0,0.0
848b459ffffffff,3.0,0.0,0.0,0.0,0.0
848b46bffffffff,12.0,0.0,0.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0,0.0,0.0
848b561ffffffff,2.0,0.0,0.0,0.0,0.0
848b5cdffffffff,4.0,0.0,0.0,0.0,0.0
848b611ffffffff,3.0,0.0,0.0,0.0,0.0
848b617ffffffff,121.0,0.0,5.0,0.0,0.0
848b627ffffffff,1.0,0.0,0.0,0.0,0.0
848b62bffffffff,2.0,0.0,0.0,0.0,0.0
848b635ffffffff,2.0,0.0,0.0,0.0,0.0
848b637ffffffff,34.0,0.0,0.0,0.0,0.0
848b63bffffffff,8.0,0.0,0.0,0.0,0.0
848b63dffffffff,3.0,0.0,0.0,0.0,0.0
848b6c1ffffffff,1.0,0.0,1.0,0.0,0.0
848b6c5ffffffff,16.0,0.0,0.0,0.0,0.0
848b6cbffffffff,1.0,0.0,0.0,0.0,0.0
848b6cdffffffff,13.0,0.0,0.0,0.0,0.0
848b6e1ffffffff,1.0,0.0,0.0,0.0,0.0
848b6e5ffffffff,5.0,0.0,0.0,0.0,0.0
848b6e7ffffffff,15.0,0.0,0.0,0.0,0.0
848b6edffffffff,36.0,0.0,0.0,0.0,0.0
848b709ffffffff,26.0,0.0,0.0,0.0,0.0
848b713ffffffff,23.0,0.0,0.0,0.0,0.0
848b71bffffffff,4.0,0.0,0.0,0.0,0.0
848b745ffffffff,1.0,0.0,0.0,0.0,0.0
848b747ffffffff,4.0,0.0,0.0,0.0,0.0
848b757ffffffff,4.0,0.0,0.0,0.0,0.0
848b759ffffffff,3.0,0.0,0.0,0.0,0.0
848b75dffffffff,8.0,0.0,0.0,0.0,0.0
848b849ffffffff,11.0,0.0,0.0,0.0,0.0
848b881ffffffff,3.0,0.0,0.0,0.0,0.0
