cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
832769fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83276afffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
83276bfffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
83276dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83276efffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832770fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832771fffffffff,25.0,0.0,2.0,0.0,0.0,0.0,0.0
832773fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
832782fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
832786fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
83278bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832792fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
832793fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
832795fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
832796fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8327a0fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8327a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8327b1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8327b2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832800fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832802fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
832806fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
832811fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832813fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832814fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832815fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832818fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
832819fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83281afffffffff,7.0,0.0,3.0,0.0,0.0,0.0,0.0
83281bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83281cfffffffff,9.0,0.0,6.0,0.0,0.0,0.0,0.0
83281dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83281efffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0
832830fffffffff,236.0,0.0,30.0,0.0,0.0,0.0,0.0
832831fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
832832fffffffff,37.0,0.0,6.0,0.0,0.0,0.0,0.0
832833fffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0
832834fffffffff,24.0,0.0,2.0,0.0,0.0,0.0,0.0
832835fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
832836fffffffff,444.0,0.0,2.0,0.0,0.0,0.0,0.0
832880fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
832884fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
832885fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
832888fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83288afffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0
83288cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832890fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832892fffffffff,19.0,0.0,2.0,0.0,0.0,0.0,0.0
832893fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832894fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832898fffffffff,4.0,0.0,1.0,0.0,0.0,0.0,0.0
832899fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83289afffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
83289bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83289dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83289efffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8328a3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8328a9fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8328aefffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8328b0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8328b1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8328b6fffffffff,19.0,0.0,3.0,0.0,0.0,0.0,0.0
8328d0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8328d1fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8328d3fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8328d4fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8328d5fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8328d6fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8328dcfffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
8328defffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8328f0fffffffff,49.0,0.0,2.0,0.0,0.0,0.0,0.0
8328f1fffffffff,10.0,0.0,2.0,0.0,0.0,0.0,0.0
8328f4fffffffff,7.0,0.0,2.0,0.0,0.0,0.0,0.0
8328f6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832912fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
83291afffffffff,19.0,0.0,5.0,0.0,0.0,0.0,0.0
832980fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832981fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
832984fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
832985fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
832989fffffffff,10.0,0.0,2.0,0.0,0.0,0.0,0.0
83298cfffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
83298dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832990fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
832993fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
832994fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
832995fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83299bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a0fffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a1fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a3fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a4fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a5fffffffff,13.0,0.0,1.0,0.0,0.0,0.0,0.0
8329a6fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a9fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8329aafffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8329acfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8329adfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8329aefffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8329b0fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8329b1fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8329b2fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8329b3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8329b4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8329b5fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8329b6fffffffff,15.0,0.0,1.0,0.0,0.0,0.0,0.0
832a10fffffffff,272.0,0.0,25.0,0.0,0.0,0.0,0.0
832a12fffffffff,514.0,0.0,12.0,0.0,0.0,0.0,0.0
832a13fffffffff,623.0,0.0,0.0,0.0,0.0,0.0,0.0
832a14fffffffff,44.0,0.0,2.0,0.0,0.0,0.0,0.0
832a15fffffffff,24.0,0.0,4.0,0.0,0.0,0.0,0.0
832a16fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
832a30fffffffff,149.0,0.0,10.0,0.0,0.0,0.0,0.0
832a31fffffffff,63.0,0.0,8.0,0.0,0.0,0.0,0.0
832a32fffffffff,86.0,0.0,2.0,0.0,0.0,0.0,0.0
832a33fffffffff,248.0,0.0,36.0,0.0,0.0,0.0,0.0
832a34fffffffff,32.0,0.0,1.0,0.0,0.0,0.0,0.0
832a36fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832a81fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
832a84fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
832a85fffffffff,30.0,0.0,3.0,0.0,0.0,0.0,0.0
832a86fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
832a88fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
832a8afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
