cell_id,Oenanthe pleschanka,Oenanthe pleschanka (vittata form)
832c43fffffffff,2.0,0.0
832c4bfffffffff,2.0,0.0
832c6afffffffff,1.0,0.0
832c6dfffffffff,2.0,0.0
832c76fffffffff,15.0,0.0
832c83fffffffff,3.0,0.0
832c89fffffffff,1.0,0.0
832c8afffffffff,2.0,0.0
832c8efffffffff,4.0,0.0
832c90fffffffff,143.0,0.0
832c91fffffffff,116.0,0.0
832c93fffffffff,997.0,0.0
832c9cfffffffff,8.0,0.0
832c9dfffffffff,2.0,0.0
832c9efffffffff,11.0,0.0
832caafffffffff,3.0,0.0
832caefffffffff,2.0,0.0
832cc0fffffffff,27.0,0.0
832cc2fffffffff,14.0,0.0
832cc3fffffffff,13.0,0.0
832cc6fffffffff,2.0,0.0
832ccbfffffffff,15.0,0.0
832ccefffffffff,5.0,0.0
832cd4fffffffff,29.0,0.0
832cd5fffffffff,30.0,0.0
832cd6fffffffff,2.0,0.0
832cddfffffffff,12.0,0.0
832cf0fffffffff,13.0,0.0
832cf1fffffffff,4.0,0.0
832cf2fffffffff,6.0,0.0
832cf3fffffffff,54.0,0.0
832d29fffffffff,10.0,0.0
832d5cfffffffff,10.0,0.0
832d72fffffffff,4.0,0.0
832d74fffffffff,2.0,0.0
832d75fffffffff,2.0,0.0
832da2fffffffff,6.0,0.0
832da3fffffffff,1.0,0.0
832daefffffffff,2.0,0.0
833105fffffffff,1.0,0.0
833110fffffffff,2.0,0.0
83312cfffffffff,2.0,0.0
833185fffffffff,1.0,0.0
83318dfffffffff,4.0,0.0
833d00fffffffff,10.0,0.0
833d02fffffffff,14.0,0.0
833d04fffffffff,8.0,0.0
833d06fffffffff,4.0,0.0
833d22fffffffff,11.0,0.0
833d26fffffffff,2.0,0.0
833d31fffffffff,2.0,0.0
833d34fffffffff,4.0,0.0
833d35fffffffff,6.0,0.0
833d49fffffffff,1.0,0.0
8340dafffffffff,2.0,0.0
834302fffffffff,2.0,0.0
834304fffffffff,2.0,0.0
834306fffffffff,3.0,0.0
834310fffffffff,2.0,0.0
834313fffffffff,2.0,0.0
834315fffffffff,2.0,0.0
834316fffffffff,2.0,0.0
83431afffffffff,2.0,0.0
83431efffffffff,11.0,0.0
834326fffffffff,7.0,0.0
83432cfffffffff,3.0,0.0
83432efffffffff,2.0,0.0
834330fffffffff,1.0,0.0
834331fffffffff,4.0,0.0
834334fffffffff,2.0,0.0
834360fffffffff,33.0,0.0
834361fffffffff,6.0,0.0
834363fffffffff,2.0,0.0
834364fffffffff,2.0,0.0
834365fffffffff,12.0,0.0
834371fffffffff,1.0,0.0
834374fffffffff,2.0,0.0
834381fffffffff,2.0,0.0
834392fffffffff,3.0,0.0
834396fffffffff,7.0,0.0
834398fffffffff,4.0,0.0
8343a0fffffffff,92.0,0.0
8343a1fffffffff,169.0,0.0
8343a2fffffffff,2.0,0.0
8343a3fffffffff,33.0,0.0
8343a4fffffffff,4.0,0.0
8343a6fffffffff,26.0,0.0
8343a8fffffffff,5.0,0.0
8343a9fffffffff,3.0,0.0
8343acfffffffff,206.0,0.0
8343aefffffffff,233.0,0.0
8343b5fffffffff,3.0,0.0
835202fffffffff,12.0,0.0
835206fffffffff,16.0,0.0
835211fffffffff,9.0,0.0
835213fffffffff,1.0,0.0
835215fffffffff,9.0,0.0
83521bfffffffff,1.0,0.0
83521cfffffffff,7.0,0.0
83521efffffffff,4.0,0.0
835230fffffffff,4.0,0.0
835232fffffffff,1.0,0.0
83524cfffffffff,2.0,0.0
83524dfffffffff,14.0,0.0
835269fffffffff,6.0,0.0
83526bfffffffff,5.0,0.0
835280fffffffff,6.0,0.0
835283fffffffff,8.0,0.0
835286fffffffff,10.0,0.0
835289fffffffff,2.0,0.0
83528efffffffff,2.0,0.0
835298fffffffff,27.0,0.0
835299fffffffff,13.0,0.0
83529bfffffffff,133.0,0.0
8352cafffffffff,4.0,0.0
8352d4fffffffff,55.0,0.0
8352d6fffffffff,4.0,0.0
83530dfffffffff,4.0,0.0
835343fffffffff,6.0,0.0
835345fffffffff,39.0,0.0
83534cfffffffff,8.0,0.0
83534dfffffffff,122.0,0.0
835355fffffffff,3.0,0.0
835362fffffffff,6.0,0.0
835363fffffffff,15.0,0.0
835364fffffffff,161.0,0.0
835368fffffffff,22.0,0.0
83536afffffffff,83.0,0.0
83536bfffffffff,22.0,0.0
83536efffffffff,26.0,0.0
835372fffffffff,3.0,0.0
835373fffffffff,3.0,0.0
835376fffffffff,2.0,0.0
8353adfffffffff,2.0,0.0
836330fffffffff,3.0,0.0
836332fffffffff,8.0,0.0
836336fffffffff,7.0,0.0
836a4bfffffffff,6.0,0.0
836a5afffffffff,9.0,0.0
836a69fffffffff,8.0,0.0
836a6cfffffffff,1.0,0.0
836ac3fffffffff,7.0,0.0
836ae8fffffffff,2.0,0.0
836aeafffffffff,3.0,0.0
836aeefffffffff,4.0,0.0
837a1efffffffff,2.0,0.0
837a40fffffffff,181.0,0.0
837a41fffffffff,50.0,0.0
837a43fffffffff,4.0,0.0
837a45fffffffff,6.0,0.0
837a48fffffffff,7.0,0.0
837a49fffffffff,2.0,0.0
837a4bfffffffff,9.0,0.0
837a4cfffffffff,11.0,0.0
837a4dfffffffff,5.0,0.0
837a4efffffffff,1.0,0.0
837a53fffffffff,1.0,0.0
837a5afffffffff,6.0,0.0
837a60fffffffff,61.0,0.0
837a61fffffffff,17.0,0.0
837a64fffffffff,37.0,0.0
837a65fffffffff,10.0,0.0
837a66fffffffff,4.0,0.0
837a68fffffffff,86.0,0.0
837a6afffffffff,85.0,0.0
837a6cfffffffff,4.0,0.0
837a6dfffffffff,28.0,0.0
837a6efffffffff,87.0,0.0
837ac1fffffffff,2.0,0.0
837ac8fffffffff,68.0,0.0
837ac9fffffffff,5.0,0.0
837acafffffffff,36.0,0.0
837acbfffffffff,3.0,0.0
837accfffffffff,26.0,0.0
837acdfffffffff,19.0,0.0
837acefffffffff,5.0,0.0
837ad9fffffffff,227.0,0.0
837adbfffffffff,2.0,0.0
837ae8fffffffff,55.0,0.0
837ae9fffffffff,95.0,0.0
837aeafffffffff,17.0,0.0
837aebfffffffff,3.0,0.0
837aedfffffffff,31.0,0.0
837aeefffffffff,3.0,0.0
839690fffffffff,6.0,0.0
839692fffffffff,24.0,0.0
839693fffffffff,60.0,0.0
